Question,Answer 1,Answer 2,Answer 3
Name A Type Of Gymnastic Move Most Children Know How To Do,Somersault ,Cartwheel ,Walk On Hands 
Name An Electrical Item Used In The Garden,Lawnmower ,Fork ,Hedge Trimmer 
Name Something A Doctor Would Hate To Run Out Of,Patients ,Gloves ,Pens 
Tell Me The Time Of Day When Most People Eat Breakfast,8.00am ,7.30am ,9.00am 
Tell Me The Time Of Day When Most People Eat Breakfast,8.00am ,7.30am ,9.00am 
Name A Food You Would Never See In A Vending Machine,Ice Cream ,Pork Chop ,Raw Fish 
Name A Way You Might Try to Stay Awake Whilst Driving,Open Window ,Coffee ,Loud Music 
Name Something People Do To Their Hair That Makes Them Look Silly,Cut It ,Dye It ,Shave It 
Name Something A Person Might Rush To Catch,Bus ,Train ,Airplane 
Name Something You Dunk,Biscuit ,Donut ,A Person 
Name A Souvenir People Buy At Disneyland,Mickey Mouse Ears ,Cuddly Toy ,Photo 
Name Something Associated With A Mummy,Egypt ,Bandages ,A Tomb 
Name Something A Surgeon Keeps Close When He Operates,Scalpel ,Nurses ,Patient 
Name A Food People Have Delivered,Roast Dinner ,Fish & Chips ,Pizza 
Name A Person Who Might Wear A Name Tag,Waiter / Waitress ,Checkout Person ,Tour Guide 
Name Something Most Men Hate To Admit They Can't Do,Cook ,DIY ,Sing 
Name A Type Of Repairman You Might Call In An Emergency,Plumber ,Mechanic ,Windscreen 
Name A Place You Might See A Shark,The Sea ,A River ,A Swimming Pool 
Name Something You Might Find Under A Rock,Worm ,Wood Louse ,Slug 
Name Something Children Make For Parents In Nursery School,Handprint ,Collage ,Painting 
Name Something A Person Might Slide Down A Snowy Hill On,Sledge ,Ski's ,Snow Board 
Name A Way Someone Might Travel Across The Country,Train ,Car ,Walk 
Name A Reason Why People Don't Like Living Next Door To An Airport,The Noise ,Property Prices ,Traffic 
Name Something You Buy At A Bookshop From The Reference Section,Dictionary ,Encyclopedia ,Atlas 
Name A Type Of Vehicle That's Used In The Army,Tank ,Jeep ,Truck 
Name A Food With Almost No Calories,Lettuce ,Celery ,Tomato 
Name Someone Who Wears White Gloves,Doctor ,Clown ,Mime Artist 
Name Something you Might Need A Ladder To Clean,Windows ,Gutter ,Chimney 
Name Something You Put On A Bed,Duvet ,Pillow ,Cuddly Toy 
Name A Popular Sandwich Filling,Cheese ,Ham ,Tuna 
Name A Flavour Of Crisps,Cheese & Onion ,Salt & Vinegar ,Ready Salted 
Name Something A Cat Might Chase,Mouse ,Cat ,Dog 
Name A Vehicle With A Siren,A Police Car ,An Ambulance ,A Fire Engine 
Name A Place Where You Might See An Advertisement,Newspaper ,On TV ,On A Billboard 
Name Something You May Catch In A Net,Fish ,Butterfly ,A Crab 
Name Something You Can Do On An Aeroplane To Pass Time,Read ,Sleep ,Watch A Movie 
Name Something You Might See Lying On The Bathroom Floor,Towell ,Clothes ,Mat 
Name Something You Might Use A Needle For,Sewing ,Knitting ,Injection 
Name Something You Might Find In A Sewing Basket,Needle ,Pins ,Cotton 
Name An Animal That Can Be Kept As A Pet,A Dog ,A Cat ,A Bird 
Name Something You Can Wear Around Your Wrists,Watch ,A Bracelet ,Handcuffs 
Name An Animal That Has Whiskers,Cat ,Seal ,Dog 
Name Something People Read Everyday,Newspaper ,Signs ,Magazine 
Name Something That Can Be Put On Your Hands,Cream ,Gloves ,Ring 
Name Something You Associate With Perfume,Smell ,Flowers ,Woman 
Name An Animal That Roars,Lion ,Tiger ,Bear 
Name Something You Might See At A Fashion Parade,Models ,Clothes ,Woman 
Name Something You Only See A Night Time,Stars ,Moon ,Owls 
Name Something Found In A Stream,Fish ,Water ,Stones Or Pebbles 
Name A Place Where You Might Hear Bells,Church ,Wedding ,School 
Name Something You Close,Door ,Window ,Book 
Name Something Everybody Needs To Survive,Water ,Air ,Food 
Name Something You Must Remember To Lock,Door ,Car ,House 
Name Something You Hug,Teddy Bear ,People ,Dog 
Name Something You Fill With Air,Balloon ,Lungs ,Diving Kit 
Name Something People Look Forward To Doing On A Day Off,Sleeping ,Sunbathing ,Gardening 
Name Something You Might Look At Through A Telescope,Stars ,Moon ,Sky 
Name Something That Has 2 Wheels,Bicycle ,Motor Cycle ,Scooter 
Name Something Vintage,Car ,Wine ,Building 
Name Something You Associate With A Haunted House,Ghost ,Screams ,Cob Webs 
Name Something That Has A Bitter Taste,Lemon ,Orange ,Lime 
Name A Place You Might Take A Dog For A Run,Park ,Forest ,Race Track 
Name Something You Might Take Sightseeing,Camera ,Map ,Friends 
Name Something That Occurs Once A Year,Christmas ,Birthday ,New Years Eve 
Name A Piece Of Furniture That Is Often Made From Wood,Chair ,Wardrobe ,Cupboard 
Name A Pet All Children Love,Dog ,Cat ,Rabbit 
Name Something You Might See At A Boat Show,Boats ,People ,Models 
Name Something You Can Make With Snow,Snowman ,Snowball ,Ski Jump 
Name Something People Listen To,Music ,Radio ,Eachother 
Name Something You Associate With Strawberrys,Cream ,Wimbledon ,Sugar 
Name Something You Associate With Socks,Shoes ,Holes ,Smelly Feet 
Name An Occasion When You Give A Present,Birthday ,Christmas ,Wedding 
Name A Place You Might Find A Diamond,Finger ,Mine ,Shop 
Name Something That Has A Buckle,Belt ,Hand Bag ,Shoe 
Name Something You Might Like To Help Mum With,Cooking ,Shopping ,Chores 
Name Something That Might Stop The Hiccups,Water ,Fright ,Sex 
Name Something You Might Clean With Soap,Hands ,Face ,Car 
Name Something A Hat Might Be Made From,Straw ,Leather ,Wool 
Name An Instrument Found In A Band,Drums ,Guitar ,Keyboard 
Name Something That Is Hard To Start,Lawnmower ,Conversation ,A Business 
Name Something A Good Film Might Make You Do,Cry ,Laugh ,See It Again 
Name A Word Used To Describe The Sun,Hot ,Yellow ,Big 
Name Something That Is Put On A Postcard,Stamp ,Address ,A Message 
Name An Animal That Plays With A Ball,Cat ,Dog ,Dolphin 
Name A Sport That Uses A Raquet,Tennis ,Badminton ,Squash 
Name Something You Might Use To Decorate A Party,Balloons ,Streamers ,Glitter 
Name Something That Doesn't Work If It Has A Hole In It,Balloon ,Bucket ,Roof 
Name Something You Usually Buy Only Once In Your Life,House ,Wedding Ring ,Coffin 
Name Something Associated With An Anchor,Boat / Ship ,Popeye ,Butter 
Name Something That Might Get Broken During A Party,Glasses ,Plates ,Toys 
Name A Part Of Your Face,Nose ,Eyes ,Mouth 
Name Something You Associate With Archery,Arrows ,Board ,Robin Hood 
Name Something You Should Switch Off Before Going To Bed,Lights ,Electric Blanket ,TV 
Name Something You Find In a Dolls House,Doll ,Furniture ,Lights 
Name A Big Pet,Horse ,Dog ,Snake 
Name Something That Has Buttons,Shirt / Blouse ,Suit ,Trousers 
Name Something You Associate With A Camel,Hump ,Desert ,Arabs 
Name Somewhere You Might Find A Painting,Gallery ,House ,Art Studio 
