Question,Answer 1,#1,Answer 2,#2,Answer 3,#3,Answer 4,#4,Answer 5,#5,Answer 6,#6,Answer 7,#7
Name Something That You Might Find Around A Pool,Lounge Chair,36,Puddles,15,Towels,14,Swimmers,12,Fence,8,Lifeguard,8,Diving Board,3
Name Something That A Couple Often Does Once The Kids Have To Move Out,Travel,37,Rekindle Romance,16,Downsize,13,Retire,7,Remodel,6,Throw A Party,5,Divorce,4
What Occupation Might Someone Have If They Carry A Folder Marked “Top Secret”?,Private Investigator,28,Police Officer,25,Lawyer,17,Politician,12,Soldier,8,IRS,3,Doctor,3
Name A Place Where You Nap Just To Pass The Time,At Home,30,Work,24,Long Car/ Bus Ride,18,Airport/ Plane,7,Park,7,School,7,Doctor’s Office,3
"Name Something Specific That Takes Longer To Dry, Than To Wash.",Hair,35,Jeans,28,Towels,14,Blankets,11,Car,4,Dishes,4,Dog,3
Tell Me A Word People Use To Describe Female Babies But Not Male Babies,Pretty,35,Cute,29,Beautiful,12,Princess,7,Precious,6,Adorable,4,Doll,3
Name A Famous Woman Who Speaks With An Accent To Americans.,Sophia Loren,23,Queen Elizabeth,21,Nicole Kidman,16,Madonna,13,Zsa Zsa Gabor,12,Penelope Cruz,7,Dolly Parton,4
Name Something That Lives In The Ocean That Most People Wouldn’t Eat,Squid,20,Sharks,18,Whales,16,Jellyfish,15,Octopus,13,Eel,7,Dolphins,6
Name An Animal Character That Talks In The Movies,Bugs Bunny,25,Babe,22,Mickey Mouse,19,Kermit The Frog,10,Daffy Duck,8,Porky Pig,6,Donald Duck,5
Name A Dessert You Might Not Serve At A Fancy Dinner Party.,Ice Cream,44,Jell O,23,Cookies,15,Brownies,6,Pie,4,Cupcakes,4,Donuts,3
Tell Me A Question That Twins Are Often Asked,Are You Twins?,29,Identical / Fraternal,23,Who’S Older?,20,Who’S Who?,16,Similar Names?,4,Think Alike?,3,Dress Alike?,3
Name A Kid’s Game A Grown Man Would Look Pretty Silly Playing,Hopscotch,32,Hide N Seek,17,Tag,15,Twister,11,Jump Rope,9,Musical Chairs,8,Dress Up,5
Name Something People Like To Listen To Music While Doing,Cleaning,21,Execising,18,Studying,18,Gardening,12,Eating,10,Dancing,8,Driving,8
Name A Cartoon Movie That Makes You Cry Even As An Adult,Bambi,44,Lion King,22,Cinderella,13,Fox & The Hound,7,Finding Nemo,5,Beauty & The Beast,3,Dumbo,3
Name Something You Would Need If You Were Putting On A Rock Concert.,Band,26,Stage,19,Amplifiers,15,Speakers,14,Guitar,10,Fans,7,Ear Plugs,5
"Name A Body Part That Gets Clothed In Winter, But Stays Naked All Summer.",Hands,20,Legs,20,Forearms,17,Head,17,Neck,17,Feet,9,Ears,3
Name Something A Kid Might Do At The Dinner Table That Would Probably Get Him In Trouble.,Throw Food,21,Burp,20,Play With Food,14,Not Finish Food,14,Spit Out Food,9,Spill Something,9,Eat With Hands,7
"If You Went On A Camping Trip By Yourself, What Might You Spend The Week Doing?",Fishing,34,Sleeping,25,Reading,17,Hiking,10,Relaxing,5,Hunting,3,Eating,3
"Name Something Your Parents Look For In Your Date, Although You May Not",Money,33,Social Graces,22,Good Job,19,Appearance,13,Maturity,6,Well Dressed,3,Education,3
Name Something About His Job That Santa Claus Might Brag About.,Flying Reindeer,36,Generosity,21,Works Once A Year,12,World Travel,11,Paid In Cookies,8,Fancy Sleigh,6,Efficiency,4
Name A Food That Comes In Packs Of Six Or More,Hot Dogs,17,Pudding,17,Little Cereal Boxes,15,Beer,13,Soda,12,Yogurt,12,Eggs,9
Name A Term For Someone Who Thinks Very Highly Of Himself,Conceited,27,Arrogant,19,Cocky,17,Stuck Up,15,Snob,9,Vain,5,Egotistical,5
"In The Movies, Name A Specific Place A Damsel In Distress Might Get Trapped Or Face Danger.",Train Tracks,24,Tower,20,Castle,19,A Dark Alley,10,Basement,7,Car,7,Elevator,7
Name The Most Stressful Job To Have On A Cruise Ship,Captain,52,Food Server,18,Cook,12,Housekeeper,7,Bartender,4,Lifeguard,3,Entertainer,3
Name The First Thing You Would Do If You Were Stranded On A Deserted Island.,Build A Shelter,24,Find Food,20,Find Fresh Water,16,Pray,10,Cry,10,Build A Fire,10,Explore,6
Name Something A Male Rock Star Might Do To Make Himself Look More Rebellious.,Tattoos,28,Get Body Pierced,26,Dye Hair,17,Paint Face,8,Shave Head,8,Long Hair,6,Facial Hair,3
Name Something That Can Make You Look Older Than Your Age.,Make Up,33,Wrinkles,30,Hair Style/ Color,17,Smoking,8,Clothes,5,Sun,3,Facial Hair,3
Name Something You Might Sign Up For If You Like To Receive Mail,Magazine,49,Coupons,19,Credit Card,8,Catalogs,8,Sweepstakes,6,Newspaper,4,Fan Club,3
Name Something A Parent Might Miss About Their Younger Years,Freedom/ Time Alone,33,Dating,19,Youthful Appearance,17,More Friends,10,Going To School,9,Having Energy,8,Fewer Bills,3
Name A Kid’s Movie That Most Adults Have Seen Too.,Shrek,23,Toy Story,22,Lion King,20,ET,10,Bambi,9,Cinderella,8,Finding Nemo,6
Name An Expression That Begins With The Word â€œFirstâ€,First Come 1St Served,26,First Love,18,First Class,10,First Things First,10,First Time,10,First Kiss,10,First Base,10
Name Something That Spies In Movies Always Carry,Weapon,34,Binoculars,20,Camera,18,Phone,9,Magnifying Glass,8,Briefcase,4,Flashlight,4
Name A School Subject That People Often Become Bad At In Adulthood.,Math,35,English/Spelling,21,History,20,Science,12,Geography,5,Physical Fitness,3,Foreign Language,3
Name The Thing You Most Fear Doing During An Important Job Interview,Sounding Stupid,32,Not Being Hired,18,Tongue Tied,13,Sweating,12,Appearance,12,Being Nervous,5,Forgetting Name,4
Name A Food That Usually Comes With A Particular Sauce,Pasta,37,Pizza,18,Chicken Strips,11,Shrimp,9,Steak,9,Fish,7,French Fries,5
Which Christmas Movie Is Played Most Often Over The Holidays?,A Christmas Story,35,Rudolph/Red Nosed Reindeer,19,The Grinch,16,Home Alone,11,White Christmas,5,It’s/Wonderful Life,5,Frosty The Snowman,4
Name A U.S. City Known For Having Great Weather,Miami,28,San Diego,20,Phoenix,17,Los Angeles,13,San Francisco,8,Santa Fe,4,Ft. Lauderdale,4
Name Something Sold Door-To-Door,Vacuums,23,Book,17,Magazines,14,Cosmetics,14,Cookies,11,Insurance,10,Fuller Brushes,6
Name A Personality Trait You Hope People Use When Talking About You,Kind,38,Funny,25,Friendly,10,Smart,9,Honest,7,Happy,4,Fun,3
Name Something The Three Stooges Do While Fighting That You’d Be Surprised To See A Pro Boxer Do,Poke Eyes,27,Slap,19,Laugh,17,Kick,9,Bite,6,Head Butt,5,Funny Noises,4
Name Something On TV That Causes People To Yell At Their Screens,Ball Game,46,Commercials,17,Boxing Match,12,News,10,Politics,5,Horror Movie,5,Game Show,3
Where Were You The Last Time You Felt You’d Been Ripped Off?,Mall/ Dept Store,36,Grocery Store,15,Bank,11,Mechanic,10,Restaurant,10,Movie Theatre,9,Gas Station,7
"What,Specifically Might Someone Do When They Walk Into Their Surprise Party.",Scream,34,Cry,20,Jump,16,Smile,8,Faint,7,Laugh,6,Gasp,6
Which Animal Has The Best Chance Of Winning At The Hurdles?,Horse,32,Kangaroo,27,Cheetah,12,Dog,10,Giraffe,8,Rabbit,5,Gazelle,3
Name Something An Underage Teen Needs Their Parents’ Permission To Do,Drive,39,Go Out,28,Date,11,Stay Out Late,7,Move Out,4,Get A Tattoo,3,Get Married,3
Name A Reason Why You Might Stay In A Hotel In Your Own City.,Natural Disaster,30,Romance,18,Just For Fun,13,Moving,12,Fight With Spouse,11,Remodeling,8,Getting Married,5
Name Something Almost Everyday Bride Wants At Her Wedding,Flowers,29,Cake,26,Groom,16,Ring,10,White Dress,8,Family,5,Gifts,3
Name Something You Wouldn’t Want Your Children To Do As You Do?,Smoke,33,Drink Alcohol,26,Swear,18,Eat,8,Drive,5,Work,4,Gossip,3
Name An Article Of Clothing You Can’t Wash In The Wash Machine,Shoes,29,Brassiere,21,Hat,16,Coat,13,Sweater,9,Suit,7,Gown,3
Name A Place Where You May Have To Stand For A Long Time,Bank,23,DMV,21,Concert,15,Bus Stop,14,Amusement Park,8,Work,7,Grocery Checkout,7
"Name Something You May Have Once Worn With A Work Uniform, But Wouldn’t Wear For A Night On The Town",Bowtie,28,Name Tag/ Badge,19,Cap/ Visor,17,Apron,11,Work Boots,10,Hard Hat,8,Hairnet,4
Name An Extra Something You Add To Your Mac And Cheese To Make It More Satisfying,Ketchup,33,Salt,19,Extra Cheese,14,Pepper,11,Hot Dogs,7,Tuna,6,Ham,4
Name A Food Served In An Elementary School Cafeteria,Pizza,46,Meatloaf,21,Jell O,10,Fries,7,Chicken Nuggets,4,Hot Dogs,3,Hamburgers,3
Name Something A Woman Might Want To Cover Up With Makeup,Blemish,65,Scar,9,Bruise,6,Wrinkles,6,Mole,5,Freckles,3,Hickey,3
Name Something That A Man Had Better Not Take Along On His Honeymoon,Another Woman,33,Cell Phone,17,His Parents,14,Work/ Laptop,12,His Best Friend,6,Golf Clubs,5,His Pet,4
"If You Commuted To Work By Jet Pack, Name Something Dangerous That Could Happen. Be Specific.",Fall To Earth,37,Run Out Of Gas,18,Hit A Plane,11,Blow Up,8,Collide With A Bird,7,Hit A Tree,5,Hit A Building,3
Name A Christmas Show That Is On Tv Every Year,Rudolph,25,Christmas Story,21,Charlie Brown,15,Frosty,12,Grinch,11,A Wonderful Life,10,Home Alone,3
Name A Profession Where You’d Have To Smile A Lot.,Model,41,Salesperson,24,Flight Attendant,15,Receptionist,8,News Reporter,5,Photographer,4,Host,3
"We Asked 100 Women: When You Should Be Focusing On Romance, Name Something Your Mind Is Often Distracted By Instead?",Job,40,Kids,19,Bills,16,Eating,10,Other Men,5,Tv,5,House,3
Name Something You Wouldn’t Miss About Daily Life If You Were Stranded On A Desert Island.,Work,27,TV,20,Traffic,12,Bills,12,Telephone,10,People,8,Housework,5
Name A Chore People Had To Do During Colonial Times That We Don’t Do Any More,Churn Butter,28,Carry Water,18,Handwash Clothes,13,Milk Cows,13,Farm Work,10,Chop Wood,10,Hunt,6
Which Animal’s Communication Sounds A Lot Like Crying?,Cat,35,Dolphin,13,Monkey,11,Bird,11,Dog,11,Whale,10,Hyena,5
Name A Way You Might Know Someone Is In The Secret Service,Dark Sunglasses,32,The Way They Dress,12,Haircut,12,With The President,10,Have An Earpiece,10,They’re Quiet,10,ID Card,8
Name A Place Where A Woman Would Hate For Her Husband To be When She Went Into Labor,At The Bar,38,At Work,28,Out Of Town,11,At A Strip Club,9,Stuck In A Traffic,6,In An Airplane,4,In Jail,3
Name A Place Where Wish People Wouldn’t Answer Their Cell Phones,Movie Theater,27,Place Of Worship,27,Restaurant,13,Car,11,Library,9,At Work,7,In The Bathroom,4
"What Do You Find Out About A Person Right Away On An Online Dating Site, But Much Later If You Meet In Real Life?",Age,35,Weight,30,Job,10,Marital Status,9,Kids,7,Religion,3,Income,3
"If Your Husband Could Get One Quality From James Bond, What Would You Want It To Be?",Looks,49,Charm,20,Wealth,10,Sophistication,9,British Accent,4,Fashion Sense,3,Intelligence,3
Name Something Two People On A Date Might Share,Kiss,33,Drink,24,Food,20,Bill,9,Conversation,5,Car,3,Interests,3
"Besides Alcohol, Drugs, Or Tobacco, Name Something That People Get Addicted To.",Love,24,Gambling,20,Coffee,18,Eating,12,TV,11,Chocolate,7,Internet,6
Name Something That College Students Get Stolen From Them On Campus.,Computer,30,Money,27,Book,24,Car,5,Bike,4,Phone,4,Ipod,3
Name An Accent That Many Americans Consider Sexy,French,34,Italian,20,Spanish,17,British,17,Southern,4,Australian,3,Irish,3
Name A Complaint An Astronaut Might Have About Living On The Space Station,Bad Food,40,Lonely,18,No Gravity,15,No Bathroom,11,No Fresh Air,5,Cramped,5,It’s Cold,4
Tell Me A Woman’s Name That Starts With The Letter “J”,Jennifer,27,Janet,20,Jane,19,Joanne,12,Judy,5,Jamie,5,Jackie,5
Where Do People Often Go For Their Honeymoons?,Hawaii,37,Bahamas,15,Niagra Falls,11,Mexico,11,Las Vegas,8,Paris,8,Jamaica,7
Name Something People Might Put On Cottage Cheese,Peaches,21,Pineapple,18,Oranges,15,Pepper,15,Blueberry,12,Salt,10,Jelly,8
Name Something That An Adventurous Person Might Try While At The Beach,Surfing,28,Skinny Dipping,25,Scuba Diving,13,Parasailing,10,Snorkeling,7,Wartersking,4,Jet Sking,4
Name Something A Beautiful Woman Might Flirt With Someone In Order To Get,Money,34,Free Drink,23,Job,9,Pass On Speeding Ticket,8,Phone Number,7,Car,5,Jewelry,5
What Might Some Women Love More Than Their Spouse?,Children,36,Money,23,Shopping,12,Shoes,9,Pet,8,Chocolate,4,Jewelry,3
Name A Gift You Might Buy If You’re A Secret Santa,Candles,19,Cookies/ Candy,18,Clothes,13,Toys,12,Get Certificate,12,Perfume,10,Jewelry,9
