Question,Answer 1,#1,Answer 2,#2,Answer 3,#3,Answer 4,#4,Answer 5,#5,Answer 6,#6
name A Way You Might Be Able to Tell Your Baby Is really An Alien,Strange Appearance,19,Weird Eyes,18,Large Ears,7,Antennas,6,Speech,6,He can Fly,4
What Might somebody Do That Would Annoy Fellow Theater-Goers At A Play?,Talk Loudly,80,Use Phone,6,Cough,3,Laugh,3,Snore,3,Heckle,3
Name Something A Magician Might Make Disappear,Rabbit,43,Assistant/Spectator,36,Bird,7,Money,4,Flowers,3,her/himself,3
Name Something A Slob Might Never Clean,Bedroom,46,bathroom,25,kitchen,8,Car,7,Clothes,7,Himself/Herself,6
Name A Popular Pick Up Line,Do I know You,33,Hey Baby,28,What’s Your Sign,12,Fall Form Heaven,9,Come Here Often,6,How You Doing,4
By What Method Might A Woman Make The Announcement That She’s Pregnant,Over Dinner,27,With A Party,20,In An Email,15,Send Out Announcements,12,By Phone,8,In Person,6
What Might An Adult Wear That Has His Name On It?,Shirt/Uniform,46,Name Tag,26,Jewlery,11,Jersey,5,Belt,4,Jacket,4
"Besides The Blade, Name Something You’d Find On A Swiss Army Knife",Corkscrew,22,Screw Driver,14,Scissors,13,Can Opener,11,Bottle Opener,7,Nail File,5
Name Something Teens May Be Afraid Of When Moving Away To College,Expenses,41,Being Alone,25,Leaving Home,12,Making New Friends,5,Difficult Classes,4,New Roommate,3
name A Place You’d Visit More Often If It wasn’t So Crowded There,Mall,31,Zoo,22,Bar/Club,14,Disney World,13,Beach,9,Park,4
"Name A Place Where A Mom Might Go When She Says, ” I Need Peace And Quiet.”",Her Bedroom,38,Take A Bath,30,Spa,11,Place Of worship,9,Library,6,Park,3
Name Something Around The House You Might Keep Spare Batteries For,Flashlight,42,Remote Control,26,Radio,11,Toys,8,Music Player,6,Portable Videogame,5
What Is The First Thing You Would Do If You Won A Million Dollars,Buy A House,48,Buy A Car,18,Vacation,11,Shopping Spree,8,Pay Bills,7,Quit Job,5
Name something That’s forbidden In Most Swimming Pools,Peeing,41,Diving,21,Street Clothes,12,Nudity,9,Eating,7,Rafts,5
"What Do Tourists Ride In Or On, That Makes Them Stand Out?",Tour Bus,46,Bicycle For 2,15,Rental Cars,13,Taxi,9,Carriage,4,Rickshaw,3
Name something Many People Would Love To Live Next To,Swimming Area,52,Park,16,Shopping District,15,Bar,6,Celebrity’s Home,5,School,3
At which Type Of Place Would You Be Surprised To See A Neon Sign Hanging In The Window,Place Of Worship,54,My House,27,Hospital,6,Dentist’s Office,3,Library,3,School,3
Name a Meal You’d Never Serve At a Fancy Party,Pizza,40,Hot Dog,32,Hamburger,11,Spaghetti,6,Meatloaf,5,Sloppy Joe,4
Name A type Of Dance People Do In A Dance Competition,Tango,36,salsa,24,Waltz,14,Tap,8,Break Dancer,4,swing Dance,3
Name Something A Fan Might Collect From Their favorite Singer,Autograph,52,Albums,12,Hair,8,Posters,7,Photos,7,T Shirt,3
Name A Complaint A Customer Might Have About A Bar They’re At,Too Much Smoke,19,Noise,18,Bad Service,13,Watery Drinks,6,Expensive Drinks,5,Too Rowdy,4
"name Something You Carry with You Just In Case, But Hate to Get Stuck Carrying",Jacket,31,Purse/Wallet,19,Cell Phone,17,Camera,14,Umbrella,12,Water Bottle,6
Name Something Men Probably Lie About Most,Age,42,Being Single,20,Income,19,Success With Women,6,Job Title,5,Weight,5
Name Something People Proudly Share On Facebook,Pictures,53,Info. On Kids,12,Age,10,Real Name,10,Relationship Status,5,Who friends Are,3
Name Something You Wouldn’t Want Your date To Talk Too Much About,Past relationships,37,Intimacy,23,Him/Herself,14,Monsy,9,Family,4,Work,4
"Name Something Pros Do On A Golf Course, That You’d Look Silly Doing For Mini Golf",Practice Swing,26,Wearing Golf Gloves,17,Having A Caddy,14,Using A Tee,13,Driving Golf Cart,10,Yelling Fore,8
"On Average, How Many Hours Does A Couple Sleep On Their Wedding Night",4,30,5,22,3,20,2,18,0,4,1,4
"It’s Said There Is A Seven Year Itch, After How Many Years Do You Think The Itch really Comes",5,32,3,26,2,16,1,8,7,5,10,4
Name A Place You Would Go With Your Wife Just To Make Her Stop Nagging,Shopping Center,36,Restaurant,23,Movie Theater,17,Place Of Worship,8,Hawii,5,Ballet,3
Name Something You Do After returning Home From A Long Vacation,Sleep,32,Unpack,21,Eating Sweets,18,Laundry,10,Shower,6,Check Mail,5
"Name An Employee You’d Find At A Fancy Hotel, But Not At A Budget Motel",Concierge,32,Bellhop,22,Valet,17,Doorperson,12,Room Service,8,Chef,6
Tell Someone Who Parents Tell Their Kids To Have respect For. (More specific Then “Elders”),Teacher,57,Grandparent,12,Police Officer,11,Themselves,8,Parent,6,Clergy,5
Name Something You Would Do In A Public Restroom That You Would Never Do In Your Own Bathroom,Pee On The Floor,24,Pee On The Toilet,14,Put Paper On Seat,12,Write On Wall,11,Leave It Messy,10,Don’t flush Toilet,9
Name Something A Person Might Do In Order To Stay Attractive,Plastic Surgery,33,Exercise,26,Wear Makeup,14,Diet,8,Use Botox,6,Dye Hair,4
Name Something Women’s Magazines Give Advice On,Intimacy,46,Romantic Relationships,24,Makeup,6,Hair,5,Keeping Fit,5,Fashion,4
What Is The Best Part Of A 4th Of July Parade,FIREWORKS,41,FLOATS,26,CANDY,19,MUSIC,7,COSTUMES,3,FIRE TRUCKS,3
What Is The Maximum Number Of Times It’s Okay For Your Partner To Call You At Work,2,34,3,23,1,19,4,7,0,6,5,3
Name Something That Usually Stops After A Couple Gets Married,Affection,33,Dating,18,Romance,14,Talking,12,Fun,9,Flirting,5
Name Something Grocery Stores Keep In A Glass Case,MILK,27,CIGARETTES,20,MEAT,17,ICE CREAM,16,ALCOHOL,8,FLOWERS,7
Name A Club A High School Student Might Belong To,GLEE CLUB,23,CHESS CLUB,16,DEBATE CLUB,14,DRAMA,13,ART,6,FOREIGN LANGUAGE,5
Name A Public Place You Immediately Want To Wash Your Hands Immediately After Leaving,Hospital,30,Restaurant,25,Zoo,13,Shopping Center,11,Bar,8,Gas station,4
Name A Movie Or TV Show about Gangsters,Sapronas,27,Godfather,25,Untouchables,13,Public Enemy,9,Scarface,8,Goodfellows,7
Which Color Of Car Do You Think Gets Pulled Over Most Often,Red,49,Black,28,White,11,Silver,6,Blue,3,Green,3
Name Something A resourceful Person Might Use To Hang A Picture If They Didn’t Have A Nail,Tape,38,Tack,29,Glue,12,Gum,6,String,3,Hanger,3
Which Olympic Sport Would Be Most Fun To watch Live,Swimming,39,Gymnastics,21,Basketball,15,Hockey,9,Track,8,Ice Skating,5
Name A Culture Or Religion That Celebrates A Different New Year Then The West,Chinese,54,Jewish,26,Islam,7,Japan,5,Buddhist,4,India,3
"Instead Of Get A Job, Name Something A Person Might Do After College",Travel,35,Get Married,33,Go Back To School,12,Move Back Home,8,Party,5,Join The Military,3
We Asked 100 Parents: Name Something You’d Tell Your Children To Do First Before Getting Married,Finish School,38,Fall In Love,26,Get A Job,14,Date Others,8,Have Fun,5,Live Together,3
Name A Place That Single People Travel To For Its Party Atmosphere,Las Vegas,41,Cancun,26,New Oleeans,14,New York,8,Amsterdam,4,Los Angeles,3
Name A Food Or Beverage You Wouldn’t Consume After It’d Been Sitting Out In Hot Weather,Milk,40,Beer,18,Soda,13,Ice Cream,10,Water,3,Meat,3
"Instead Of Magazines, Name Something You wish Your Dentist’s Waiting Room Had?",TV,37,Video Games,20,Toys,13,Books,11,Snacks,9,Music,6
Name Something That Is Rude To Do When Someone Is Taking TO You,Interupt,34,Look Away,33,Leave The Room,10,Yawn,7,Use Cell Phone,6,Not Make Eye Contact,4
Name A Child Actor Who Is Still Acting Or Working In Hollywood As An Adult,Drew Barrymore,56,Jodie Foster,14,Raven Symone,9,Ron Howard,8,Laurence Fishburne,6,Olsen Twins,4
Name Something Most Parents have Pictures Of Their Child Doing,Bathing,29,Playing,25,Eating,14,Smile/Laugh,13,Sleeping,13,Openig Presents,4
Name Something Your House Is Full Of After Christmas,PRESENTS,34,WRAPPING PAPER,31,FOOD,15,PINE NEEDLES,6,BOXES,5,PEOPLE,4
"Name A Piece Of Equipment Many Bikers Don’t Use, But Ought To.",Helmet,51,Knee Pads,18,Gloves,12,Horn,8,Brakes,5,reflective light/Tape,3
"Name A Food That’s Baked In The Oven, But Can’t Be Cooked In The Microwave",Cake,46,Chicken,15,Bread,14,Cookies,11,Pie,8,Roast,3
Name Something About A Teddy Bear That’s Different From A Real Bear,Huggable,29,Stuffed,19,Smaller,16,Softer,12,No Teeth,10,Safe,7
"In The Store, Name A Product That You Might Choose Because It’s Soft",TOILET PAPER,35,BREAD,23,PILLOW,17,BLANKET,14,TOWEL,4,SHIRT,3
"Besides Swimming, Name Something People Do To Stay Cool In The Summer",Cold Drinks,26,Eat Ice Cream,18,Use A Fan,17,Cold Shower,14,Air COnditioning,14,Sit In Shade,6
Name A Drink That Often Comes With A Spoon,Milkshake,33,Coffee,28,Tea,24,Hot Chocolate,8,Root Beer Float,3,Slush/Smoothie,3
"If You Got A New Puppy, Name Something You’d Teach It",Sit,34,House Training,20,Fetch,19,Roll Over,16,Don’t Bite/Chew,5,Stay,5
Name Something That You Would wear To A Wedding In The Dessert,Sandals,35,Bathing Suit,22,Sun Dress,15,Sun Hat,10,Shorts,7,Sunscreen,3
Name Something Romantic You Hope To Still Do With Your Partner When You’re 80,Kiss,30,Hold Hands,27,Intimacy,22,Dance,9,Go On Dates,6,Take Walks,4
Tell Me A Situation That Makes Just About Everyone Nervous,Wedding,27,Dating,21,Job Interview,16,Doctor Appt,13,Public Speaking,12,Taking A Test,6
Tell Me A Situation That Makes Just About Everyone Nervous,WEDDING,27,DATING,21,JOB INTERVIEW,16,DOCTOR’S APPT,13,PUBLIC SPEAKING,12,TAKING A TEST,6
Name Something That’s Fake On WWF Wrestling,Blood,41,Wrestling,34,Bodies,10,Names,7,Injuries,3,Tan,3
Name Something That Tastes Better With Salt On It,French Fries,23,Eggs,16,Potato Chips,9,Corn On The Cob,8,Meat,8,Tomatoes,7
Name A Reason You May Not Be Able To Get Home For The Holidays,Sick,17,Work,14,Broke,12,Far Away,4,Car Problems,3,Too Much Homework,2
Name Something A Kid Might Use To Slide Down The Stairs,PILLOW,29,CARDBOARD BOX,22,BLANKET,21,BEHIND,8,MATTRESS,8,TOWEL,8
Name Something Many people Buy With Credit Card Instead Of Cash,Clothes,30,Car,22,Gas,18,Food,16,Furniture,7,TV,4
Name A Food That Some People Prefer To Eat Burnt,Toast,39,Marshmellow,18,Popcorn,13,Steak,11,Bacon,10,Hot Dogs,6
Name An Activity People Commonly Take Up After Retirement.,Golf,47,Gardening,17,Traveling,16,Fishing,10,Playing An Instrument,3,Knitting,3
"At A party where You Don’t Know Anyone, How Might You Pass The Time?",Drink,42,Dance,22,Eat,20,WatchTV,7,Introduce Yourself,3,Listen To Music,3
Name Something That Both A Dental Office And A Spa Might Have,Chair,29,Water,29,Magazines,14,Towels,9,Waiting Room,9,Music,8
Name A Football Bowl Game,Super Bowl,51,Rose Bowl,26,Sugar Bowl,12,Cotton Bowl,5,Orange Bowl,4,Peach Bowl,2
Name Something A Hotel Guest Calls The Front Desk To Ask About,Room Service,32,Getting More Towels,26,Wake Up Call,23,Check Out Time,9,Noise,4,Phone Message,3
Name Something That May Be Found Washed Up On The Beach,Sea shells,18,Seaweed,18,Bottle,14,Whale,12,Garbage,8,Shoes,4
Name A U.S. State Whose Residents Say “Y’All,Texas,51,Georgia,15,Alabama,12,Kentucky,9,Tenessee,6,South Carolina,6
Name Something That A Very thrifty Person Would Re-Use after A Birthday Party,Candles,48,Wrapping paper,26,Paper Plates,9,Plastic Cups,6,Decorations,4,Tablecloth/Napkins,3
Name Something You’ll Find On The Breakfast Menu No Matter What Kind Of Restaurant You’re At,Eggs,35,Coffee,30,Pancakes,16,Bacon,6,Juice,4,Toast,4
Name A Gift That’s great To Give To Children If You Don’t Live With Them.,Drum,30,Candy,22,Dog,16,Horn,12,Guitar,10,Toy Gun,7
Name An Organization That’s Only For Females,Madd,16,Sorority,16,WNBA,14,Now,13,Girl Scouts,12,Wic Program,4
name a Profession Where You Might Be Fired If You Lost Your Voice,Singer,52,Radio Host,15,Teacher,10,Receptionist,8,Telemarketer,5,Actor,3
Name Something You shouldn’t Squeeze too Tightly,Baby,12,Vegetables,11,Eggs,8,Balloon,7,Charmin Tissue,6,Bread,6
Name The Part Of The Wedding That The Bride And Groom Might Do More Out Of Tradition Than Choice,Vows,36,Kiss On Command,23,Dance,17,Cut The Cake,10,Throw Bouqueu,6,Bridal Song,5
Name Something You See Or Hear That Reminds You Of An Ex.,Song,61,Voice,13,Photo,9,Movie,6,Name,5,Car,3
Name Something Made with Ginger,Cookies,58,Ginger Ale,12,Pumpkin Pie,10,Tea,7,Ginger chicken,6,Carrot Cake,2
Name Something A Person With Extra Long Arms Would Be Good At,Sports,51,Reaching,26,Hugging,6,Rock Climbing,6,Paint Ceilings,5,Change Lightbulbs,3
Name Something A Kid Would Do After School To Make An Extra Buck,Mow Lawns,49,Babysit,17,Paper Route,10,Sell Lemonade,8,Wash Cars,8,Chores,5
Name Something Warm Served At An All-You-Can Eat Buffet.,Soup,48,Meat,22,Bread,9,Pizza,8,Pasta,5,Coffee/Tea,4
Complete This Sentence. I’d Never Date Someone Who had bad ___________ .,Breath,42,Hair,27,manners,12,Attitude,8,Hygiene,5,Credit,4
Name Someone The Groom Might Not Want At His Bachelor Party,Bride,35,Ex,20,Dancer,16,Mom,13,Dad,7,Father N Law,6
Name Something You’d Like to Have In Your Backyard,Pool,61,Garden,12,Swingset,9,Grill,6,Fence,4,Fountain,3
Tell Me Something You Only Do When You’re Sick.,Nap,37,Vomit,34,Take Medicine,14,Eat Soup,8,Home From Work,3,Go To Doctor,3
Name A Form Of Technology That Some People Refuse to Use,Computer,33,Cell Phone,27,TV,17,Microwave,9,Car,7,GPS,4
Name Something That Probably Drops In Sales In The Winter.,Swimsuit,35,Summer Clothing,18,Pool Equipment,16,Lawn Care,13,Ice Cream,6,Air Conditioner,5
Name Something A Telemarketer Probably Hates About Their Job.,People Hanging Up,51,Rude People,22,Getting Rejected,12,Making Phone Calls,4,Asking Questions,2,Boring,2
Name Something A Husband Might Forget To Take To The Hospital When His Wife Is Having A Baby.,Suitcase,43,Wife,19,Extra Clothes,18,Baby Bag,5,Flowers,4,Car Seat,4
Name An Occupation In Which One Spends His Day Cutting.,Barber,41,Butcher,26,Gardener,13,Tailor,9,Lumberjack,5,Carpenter,3
"When You’re Stressed Out, Name The Part Of Your Body Where You Feel It Most.",Head,40,Neck,23,Back,18,Shoulders,10,Feet,2,Chest,2
"Name Someone, Real Or Fictional, Who Is Known For Having A White Beard.",Santa Claus,37,Moses,22,Uncle Sam,20,Kenny Rogers,7,Merlin/Wizard,7,Colonel Sanders,4
Name Something You’d Be Surprised To Hear A Six Month Old Baby Has Already Learned How To Do.,Walk,58,Talk,20,Read,6,Eat On Their Own,5,Hold A Bottle,4,Crawl,3
Name Something Babies And Puppies Have In Common.,Cute,34,Drooling,17,Need Attention,13,Playful,9,Sleep Alot,8,Cry,8
Name An Animal That Travels In Groups.,Birds,37,Wolves,19,Fish,17,Lions,12,Elephant,9,Deer,4
Name Something People Might Do With A Rental Car That They Wouldn’t Do With Their Own Car.,Speed,40,Not Clean It,15,Travel Far,13,Smoke In It,9,Crash It,7,Drive Recklessly,7
Name The Job You Wouldn’t Want To Have If You Worked At The Circus,Janitor,55,Clown,13,Lion Tamer,12,Human Cannon Ball,6,Tight Rope Walker,4,Elephant Trainer,3
Name Something Parents Say Is Too Short.,Childhood,29,Daughter’s Skirt,28,Summer/School Calendar,17,Money,11,Life,10,Fuse/Temper,5
Name A Part of A Fish That Most People Don’t Eat.,Head,33,Eyes,27,Tail/Fin,19,Bones,14,Scales,3,Giills,3
Name Something Everyone Knows About The Dog “Lassie.”,Collie,34,Rescues People,21,Smart,16,Always Comes Home,9,Owned By Timmy,8,Girl Dog,6
Name A Popular Christmas Candy.,Candy Cane,69,Fudge,8,Mints,8,Peppermints,4,Chocolate Santa,4,Hard Candy,4
"At An Awards Show, Name Something Celebs Might Be Doing When The Camera Pans On Them.",Smiling,62,Waving,11,Posing,10,Crying,5,Clapping,3,Kissing Date,3
Name Something That Might Happen If You Had Bad Luck On Your Honeymoon.,Break Up,38,Bad Weather,33,Don’t Get Along,7,Miss Flight,6,Get Sick,6,Lose Luggage,5
Name A Reason A Person Might Complain About A Cup Of Coffee That’s Served To Them.,Cold,39,Too Hot,20,Too Weak,15,Too Strong,12,No Sugar,7,No Cream,6
"To Feel Safer At Night, Name Something You Would Go To Sleep With.",Weapon,47,Teddy Bear,23,Bat,8,Dog,8,Night Light,6,Partner,3
Name A Computer Program Or Skill That You Wish You Were Better At.,Typing,63,Excel,11,Word Processor,8,Surfing The Net,6,Programming,4,Power Point,3
What Do You See At The Olympics That You Might Also See At A Spelling Bee.,Judges,44,Prize,20,Audience,19,Competition,8,Timer,3,Scores,3
Name Someone You Wouldn’t Want To See You Nude.,Mom,39,Dad,31,Boss,12,Grandma,9,Kids,5,Sibling,3
Name Something Parents Photograph Their Baby Doing For The First Time.,Walking,37,Smiling,20,Eating,18,Taking A Bath,10,Crawling,8,Sleeping,4
Name A Winter Activity That Makes You Sweat.,Skiing,29,Ice Skating/Hockey,16,Snowboarding,15,Shoveling,14,Sledding,14,Snowball Fight,8
Name Something You Do To Try And Wake Up Your Leg After It Has Fallen Asleep.,Shake It,45,Walk,25,Hit It,12,Rub It,8,Jump,5,Stomp It,4
"Other Than Work, Name Something You Often Find Yourself Talking To Co-Workers About.",Family,44,Relationships,21,Sports,14,Weather,6,TV,5,Weekend,4
How Many Credit Cards Does The Average Person Have? (Numeric Only),3,34,5,22,4,17,2,11,6,11,1,4
What Might A Financial Expert Tell You To Put Your Money Into?,Stocks,39,Savings Account,27,CD,10,Bonds,9,IRA,9,401K,4
Name The Vegetable That Tastes The Worst When it Comes From A Can.,Peas,35,Spinach,22,Carrots,17,Corn,11,Green Beans,7,Asparagus,6
Name A Food You Find Raisins In.,Cold Cereal,33,Cookies,16,POatmeal,14,Salad,13,Bread,11,Bagels,7
Name A Famous Store In New York City.,Macy’s,39,Saks Fifth Avenue,22,Bloomingdale’s,12,Tiffany’s,10,FAO Schwartz,8,Barney’s,6
Name A Job That A Clumsy Person Would Be Fired From Immediately.,Food Server,35,Surgeon,28,Construction Worker,10,Dancer,6,Acrobat,5,Bartender,5
"While Looking For A New Home, What Would You Be Surprised To Find That A House Didn’t Have?",Bathroom,51,Kitchen,15,Roof,10,Garage,9,Doors,5,Basement,4
Name Something You Expect To See In A Martial Arts Movie.,Fight Scenes,43,Asian Actors,20,Weapons,14,Subtitles/Dubbing,9,Ninjas,7,Blood,5
Name Something That Would Keep You From Snuggling Up To Your Spouse In Bed.,Sick,25,Snoring,20,Bad Breath,22,Gas,13,Cold Feet,12,Body Odor,8
Name Another Word For “Courage.”,Brave,70,Strength,7,Fortitude,6,Heroic,4,Heart,4,Bold,3
Name A Reason Why You Might Not Participate In Take-Your-Child-To-Work Day.,No Kids,39,Job’s Not Suitable,18,No Job,18,Naughty Kid,11,Too Busy At Work,7,Boring Job,5
Tell Me Something You Hate To Discover That You’re Missing A Piece From.,Puzzle,57,Earring,15,Car,10,Board Game,6,Pie,5,Cake,4
Name Something That Might Be Ruined If It Had A Scratch On It.,CD/Record,44,Furniture,16,Glasses/Eyeglasses,11,Car,11,Mirror,6,Camera Lense,5
Name Something Sister Borrow From Their Brothers.,Clothes/Shoes,54,Money,21,Music/CDS,7,Car,6,Deoderant,4,Comb/Brush,2
Name Something You’d Expect To See In A Boardroom Meeting.,Conference Table,29,Executives,26,Office Chairs,17,Charts/Presentation,12,Coffee/Donuts,9,Computers/Phones,4
Name A Word That Begins With “Con.”,Convict,24,Con Artist/Con Man,22,Contest,16,Contract,13,Construction,7,Connect,5
Name A Breed Of Dog That Everyone Has Heard Of.,Poodle,31,Pit Bull,21,German Shepherd,15,Labrador,12,Collie,10,Dalmation,8
We Asked 100 Married People: Name The Thing That Your Spouse Most Often Complains About.,Money,49,Lack Of Intimacy,20,Dinner,8,Snoring,8,Work,7,Doing Housework,6
"Besides Coughing, What’s Something You Can’t Stop Yourself From Doing?",Sneezing,52,Getting Hiccups,11,Breathing,11,Blinking,7,Laughing,6,Eating/Drinking,5
Name Something A Craft Lover Would Have A Lot Of.,Glue,38,Yarn,22,Construction Paper,13,Paint,12,Beads,8,Fabric,3
Name A Place Where It’s Usually Not OK To Wear Jeans.,Place Of Worship,45,Work,20,Wedding,14,Beach/Pool,7,Funeral,4,Fine Restaurant,3
Name An Activity You Wouldn’t Want To Do In The Rain,Walk,35,Picnic,23,Golf,16,Baseball,14,Drive,7,Garden,3
Name Something Teenagers Do That They’ll Kick Themselves For Later In Life.,Drink/Smoke,28,Bad Grades,20,Put Off College,14,Drop Out,14,Date Too Soon,12,Get A Tattoo,9
