Question,Answer 1,Answer 2,Answer 3,Answer 4
What Do You Do At The 1st Sign Of Sickness So That It Doesn’t Get Worse,Take Medicine,Doctor,Rest,Vitamin C
Name A Simple Car Game Surprised People Playing For Money,Go Fish,Uno,Old Maid,War
Tell Me A Place Where You Don’t Want To Leave Early,Work/ School,Church,Party,Wedding
Part Of Uniform Clown Hates Putting On,Nose,Shoes,Makeup,Wig
Name Something A Home Might Have Energy Efficient,Solar Panels,Insulation,Light Bulbs,Windows
Something Women Talk About On Girls Night Out,Dating,Clothes,Kids,Work
Name A Word Or Phrase A Cowboy Might Say While On His Horse,Giddy Up,Whoa,Hi Ho,Yeehaw
How Would Your Friends Begin Greeting You If Royal Family Mem,Bow,Your Highness,Sir,Your Majesty
What Would You Be Pleasantly Surprised To Receive On A First Date?,Flowers,Kiss/Affection,Jewellery,Candy
Name Something A Political Contest And A Football Game Have In Common.,Fans,Score Points/Voters,Have A Winner,Competitive
Name An Exercise You’d Have A Hard Time Doing 10 Of.,Push Up,Pull Ups/Chin Ups,Sit Ups,Jumping Jacks
Tell Me A Fast Food Item That Comes In Sizes Too Big For You To Consume.,Fries,Burger,Pizza,Soda
Name A Hot Place Where You’d Never Expect To See People Eating Ice Cream.,Sauna/Hot Tub,Beach,Hell,Desert
Name Something You Wear When You Ride A Bike.,Helmet,Shorts,Gloves,Glasses/Goggles
Food That Has A Hole In The Middle.,Donut,Cereal,Bagel,Hard Candy
Name An Excuse People Use At A Party To Get Away From A Boring Person.,Bathroom,Nor Feeling Well,Need A Drink,Phone Call
Name Something Specific That’s Sauteed,Onions,Mushrooms,Chicken,Shrimp
"Name Something You Stow Away Most Of The Year, And Take Out During The Holidays.",Decorations,Christmas Tree,Formal Dishes,Wrapping Paper
Name Something That Is White In Your Refrigerator.,Milk,Eggs,Baking Soda,Mayo
Name A Skill Kids Are Taught So They’re Able to Make Friends,Sharing,Manners,Communication,Shaking Hands
"Besides A Phone Number, Name A Set Of Numbers Most People Remember",Social Security,Address,Pin/Password,Bank Account
"Besides Make Drinks, Name Something Else A Bartender Might Do.",Talk To Customers,Serve Food,Dance,Clean Up
Name Something That Causes A Person To Laugh,Jokes,Being Tickled,TV Show/Movie,Clown
Name Something A doctor Tells You To Do More Of,Exercise,Eat Healthy,Sleep,Drink Water
Name A Reason Why A Stand-up Comedian Might Say He Had A Bad Night,No Laughs,Got Booed/Heckled,Nobody Showed Up,Forgot Jokes
Name An Occassion For Which You Order A Fancy Cake,Wedding,Birthday,Anniversary,Graduation
Name Another Word A Cool Guy Might Use For “Car”,Ride,Wheels,Whip,Hot Rod
What Should You Do To Celebrate The First Snowfall?,Build A Snowman,Snowball Fight,Sled,Ski
Name an event that cuts into regular television programming,Breaking News,Sports,Presidential Speech,Weather alert
Name A Letter That Is Hard To Use In Scrabble,X,V,Q,Z
Name Something That Starts With “B” That People Look For In A Partner,Beauty,Brains,Body,Bravery
Name A Vegetable You Usually Don’t Find In Chicken Soup,Broccoli,Peas,Tomato,Corn
Name Something You Find On A Street That The Owner Doesn’t Want Returned,Trash,Penny,Gum,Dog Doo
Name The Best Dish To Order At A Mexican Restaurant,Tacos,Nachos,Burito,Fajitas
Name Something People Put In Their Ears,Earplugs,Q Tips,Earrings,Fingers
Name Something A Clown Might Wear Thats Oversized,Shoes,Nose,Pants,Hat
Name A Room In Your House You Wouldn’t Want Carpeted.,Bathroom,kitchen,Basement,Laundry Room
Name A Crime Most People Have Done,Speeding,Stealing,Jaywalking,Littering
Name Something You Might Need In Order To Enter A Childs Treehouse,Code/Secret Knock,Ladder,Rope,Permission
Name A Millionaire Who Could Never Be Rich Enough For You To Want To Date Him,Donald Trump,Bill Gates,Hugh Heffner,Warren Buffet
Name A Bad Habit Some People Haves When They Are Stressed,Bite Nails,Smoking,Eating,Yelling
Name An Age That A Boy Becomes Interested In Girls,13,12,10,14
"Other Than School, Name A Place Where You Find ",Gym,Work,Theme/Water Park,Bus Station
Name A Reminder Of An Ex That You’d Get Rid Of After A Break Up,PICTURE,CLOTHES,JEWELRY,CARDS/LETTERS
Name A Place Where Only A Person With No Conscience Would,Hospital,Church,School,Funeral
Name Something People Do In Their Front Yards In The Summer,MOW LAWN,COLD DRINKS/LEMONADE,TAN,GARDEN
Name something people worry will happen to a child star,Get Into drugs,Kidnapped,Become Spoiled,Grow Up To Fast
Name Something You’re Pleasantly Surprised To Find In Your Chocolate Chip Cookie,NUTS,OATMEAL,RAISINS,M&M
Name Something Most Women Want To Be Successful At,Work,Parenting,Cooking,Marriage
Name A Reason Why A Person might Prefer To Travel By Cruise Ship.,Fear Of Flying,It’s Enjoyable,Like Water,No Traffic
"If Your Date Is Paying For The Meal, Name Something You Shouldn’t ",Order Most Expensive,Argue About Paying,Complain About Meal,Order Extras
What Do Family Fued Contestants Do After Their Relative Has Given A Bad Answer,Good Answer,Laugh,Get Mad,Roll Eyes
Name A Type Of Shoe That Women Own At Least One Of,HEELS,SNEAKERS,BOOTS,SANDLES
Which Hobby Should A Man Take Up If He Wants To Meet Women,DANCING,COOKING,SHOPPING,SEWING/KNITTING
Name Something Women Often Compliment Their Friends On,Hair/Makeup,Outfit,Weight Loss,Significant Other
Name A Type Of Weather Warning That Might Interupt Your TV Show,TORNADO,HURRICANE,SEVERE THUNDERSTORM,SNOW
Name A Chain Restaurant That Would Never Be Asked To Cater A Fancy Party,MCDONALDS,BURGER KING,TACO BELL,WENDY’S
Name Things People Do Before Thanksgiving Day,Shop,Travel,Clean,Bake
Name Something You See In A Jail Cell,Bed,Toilet,Inmate,Bars
Name Something You Buy In Preparation For Halloween,Candy,Costume,Pumpkin,Decorations
Name An Occupation That There’s A Shortage Of In The United States,Nurses,Teachers,Police Officers,Doctors
Name The Most Romantic Place To Go On A First Date,Beach,Resaurant,Movie Theatre,Park/Picnic
Name A Medical Instrument That A Doctor Uses,Stethoscope,Scalpel,Needle,Thermometer
Name Something People Do During Flu Season To Avoid Getting Sick,Wash Hands,Flu Shot,??,Vitamins
Of What Material Would You Expect To Queen Of England’s Sheets To Be Made?,Silk,Satin,Egyptian Cotton,Velvet
"Name Something You Do To The Products At The Grocery Store, But Not At A Clothing Store",Smell,Squeeze,Taste Test,Weigh Them
Name Something A Person Pushes That Has Wheels,Shopping Cart,Stroller,Lawn Mower,Wheel Barrow
Name A Public Place Where It’s OK To Yell,Playground,Concert,Sports Event,Amusement Park
"If Women Designed The Perfect Man, Name A Trait He Might Have",Compassion,Honesty,Good Sense Of Humor,Beautiful Eyes
Name Something A Person Might Do Differently Around Their Partner Once They’re Married,Show affection,Dress,Clean,Communicate
Name an occupation that thers a shortage of in the United States,Nurse,Teacher,Police Officer,Doctor
What skill might you need on your resume in order to get hired by Santa,Toy Making,Gift Wrapping,Good With kids,Flight
Name Something That Men Join,Gym,Golf/Country Club,Military,Fraternity
Name A Scary Halloween Figure,Frankenstein,Witch,Ghost,Freddy Kruger
Name Something About A Cats Life That People May Envy,9 Lives,Lots Of Sleep,Lazy,Freedom
Name something people often lose,Keys,Money,Minds,Gloves
Give Me A Name Used For A Person Who Talks A Lot,Chatter Box,Blabber Mouth,Motor Mouth,Jabber Jaws
Name A Famous “Johnson”,Lyndon B Johnson,Magic Johnson,Howard Johnson,Johnson & Johnson
What Do People Keep In Their Basement,Old Clothes,Toys,Washer & Dryer,Junk
Name Something Children Climb On That Makes Their Parents Worry.,Trees,Monkey Bars,Table/Chairs,Ladder
Name a food they serve at the circus,Cotton Candy,Hot dogs,Pop Corn,Peanuts
Name Something You Can Do With A Pumpkin,Make Pie,Smash It,Throw It Away,Roast Seeds
Name an object that some stomachs are compared to,Ball,Washboard,6 Pack,Rock
"Name An Activity That’s Good To Do In Moderation, But Not All The Time",Drink,Exercise,Eat,Sleep
"If “Meat Loaf Surprise” was listed on a menu,what might be surprising about it",Taste,Type Of Meat,Color,Smell
Name Something A Guy Might Have To remove From A New Dress Shirt Before Wearing It,Labels,Price Tag,Cardboard Collar,Straight Pins
How do you let your partner know that youre thinking of them while your out of town,Phone Call,Email,Send Flowers,Text Message
Name A Number That People Consider Lucky,7,13,11,6
Name A Car That Old People Like To Own,Cadalac,Continental,Chevy,Buick
Name Something Mom Tells Her Kids To Do Before Dinner,Wash Hands,Pray,Homework,Set Table
Name A Mean Prank Kids Play On Halloween,Throw Eggs,Smash Pumpkins,Toilet Paper Houses,Snatch Candy Bags
Name something you’ve broken by sitting on it,Chair/Furniture,Eye glasses,Cell phone,Remote control
Name a place where it is good to be tall,Basketball court,Theater/concert,Amusement park,Supermarket
Name Something You Might Wear While Swimming,Goggles ,Bathing Cap ,Trunks ,Nose Peg 
Name A City That Has An Underground Rail System,London ,Paris ,New York ,Japan 
Name An Animal You Can Ride On,Horse ,Donkey ,Elephant ,Dolphin 
Name Something You Do In A Lift,Go Up & Down ,Push Buttons ,Snog ,Fart 
Name A Fruit That Would Be Hard To Juggle,Pineapple ,Banana ,Melon ,Grapes 
Name An Animal Small Enough To Put In Your Pocket,Mouse ,Hampster ,Chihuahua ,Spider 
Name A Non Living Object With Feet,Table ,Chair ,Measure / Ruler ,Socks 
Name Something People Do When Bored,Yawn ,Sigh ,Fall Asleep ,Doodle 
Name A Part Of The Body People Like To Have Massaged,Back ,Feet ,Shoulders ,Head 
Name A Non Living Object With An Eye,Needle ,Potato ,Storm ,London Eye 
Name Something That Makes You Dizzy,Spinning Round ,Lack Of Air ,Alcohol ,Giving Blood 
Name A Person Who Uses A Broom,Witch ,Cleaner ,Road Sweeper ,Chimney Sweep 
Name Something People Usually Do At The Seaside,Sunbathe ,Build Sandcastles ,Go Swimming ,Water Ski 
Name Something You Might Find In A Budgies Cage,A Budgie ,Food ,A Mirror ,A Swing 
Name Something You Recycle,Paper ,Cans ,Organs ,Bottles 
Name Something That Lives Underground,Mole ,Worm ,Rabbit ,Badger 
Name A Sport That Men Like To Watch Woman Do,Wrestling ,Volleyball ,Tennis ,Gymnastics 
Name Something You Add Milk To,Tea ,Coffee ,Cereal ,Eggs 
"""Name A Part Of The Body Beginning With """"N""""""",Nose ,Neck ,Nostril ,Nails 
Name A Yellow Flower,Daffodil ,Dandelion ,Buttercup ,Sunflower 
Name Something That Might Crash,Plane ,Car ,Train ,Computer 
Name Something A Student Might Buy With A School Emblem On It,Jacket ,Cap ,Bag ,Book 
Name A Type Of Bird You'd Never Keep As A Household Pet,Eagle ,Ostrich ,Penguin ,Falcon 
Name Something You Eat By The Handful,Popcorn ,Crisps ,Nuts ,Chips 
Name An Extra Body Part You Would Like To Have,Hand ,Arm ,Eye / Eyes ,Brain 
Name Something A Person Might Do To Help A House Plant Grow,Water It ,Fertilizer ,Talk To It ,Music 
Name A Type Of Shoe,Sock ,Wellington ,Stiletto ,Winke Picker 
Name Something You'd Hate To Find On The End Of Your Nose,A Spot ,A Bogey ,A Hair ,A Fist 
Name Something Used In A Game Of Hockey,A Puck ,A Hockey Stick ,Goals ,Grass 
Name A Profession That Uses A Calculator,Accountant ,Stationer ,Computer Programmer ,Maths Teacher 
Name Something You Would Eat If You Wanted To Gain Weight,Crisps ,Burgers ,Chips ,Sweets 
Name A Reason Why A Restaurant Might Have To Close,Health Inspection ,Gone Broke ,Chef Quits ,Power Cut 
Name A Sport Where The Athletes Don't Look Very Athletic,Bowls ,Darts ,Snooker ,Sumo 
Name Something A Child Might Take To The Beach,Bucket ,Spade ,Sandwiches ,Fishing Rod 
Name Something Columbus Worried About On His Way To America,Storms ,Getting Lost ,Sinking ,Pirates 
Name Something You'd Find In The Centres Of Fancy Chocolates,Caramel ,Nuts ,Cream ,Alcohol 
Name One Of Bugs Bunnys Associates,Daffy Duck ,Yosemite Sam ,Porky Pig ,Elmer Fudd 
Name A Reason You Might Stick Out Your Tongue,Play ,At Doctors ,Having It Pierced ,Passionate Kiss 
Name Something Woman Do To Their Eyebrows,Pluck ,Dye ,Shave ,Mascara 
Name An Excuse People Give To Police For Speeding,Didn't Realise ,Didn't See The Sign ,Late For Work ,Going To Hospital 
Name A Reason A Person Might Phone Up A Radio Show,For Prizes ,To Complain ,A Phone In ,Agony Aunt 
Name Something You Can Snap Apart From Taking Photographs,Fingers ,A Biscuit ,A Piece Of Wood ,A Wishbone 
Name A Sport Where People Wear Helmets,Motor Racing ,Ice Hockey ,Canoeing ,American Football 
Name Something Children Forget When Leaving For School,Homework ,Packed Lunch ,Dinner Money ,School Tie 
Name A Reason You Might Send A Bowl Of Soup Back,Something In It ,Not Warm Enough ,Wrong Kind ,Didn't Order It 
Name An Occupation Where You Might Get Dirty,Miner ,Builder ,Plumber ,Chimney Sweep 
Name Something You Keep In Your Trousers,Wallet / Money ,Keys ,Legs ,Privates 
Name Something That's Prickly,Cactus ,Hedgehog ,Porkupine ,Conquer 
Name Another Word For A Thief,Robber ,Burglar ,Tea Leaf ,Shoplifter 
Name A Season Of The Year,Summer ,Winter ,Spring ,Autumn 
Name Something That You Do When Startled By A Loud Noise,Jump ,Investigate ,Laugh ,Scream 
Name Something You Might Take On Safari,A Camera ,Binnoculars ,Food ,Sunglasses 
Name A Place You Might Sleep When Staying At A Friends House,Bed ,Sofa ,Floor ,A Tent 
Name Something People Do After They Take A Shower,Dry Off ,Go Out ,Get Dressed ,Turn It Off 
Name Something You're Likely To Find In A Kitchen Drawer,Tea Towels ,Crockery ,Cutlery ,Tin Foil 
Name Another Word For Fast,Quick ,Nippy ,Lively ,Speedy 
Name Something You Might Look At Through A Telecsope,Stars ,Planets ,Airplanes ,Birds 
Name Something That Crawls,Spider ,A Baby ,Snake ,Insects 
Name An Instrument Parents Hate To Hear Their Children Play,Drums ,Clarinet ,Trumpet ,Recorder 
Name An Item Of Clothing You Don't Usually Put On Hangers,Underwear ,Socks ,Scarf ,Hat 
Name Something That Water Skiers Need That Snow Skiers Dont,Water ,A Boat ,A Rope ,A Life Jacket 
Name Something Grandparents Do To Spoil Their Grandchildren,Give Them Sweets ,Buy Them Toys ,Give Them Money ,Expensive Trips 
Name A Type Of Vehicle That Makes Frequent Stops,Bus ,Train ,Tram ,Milk Float 
Name Someone Who Might Knock On Your Hotel Room Door,Room Service ,Next Door ,An Escort ,A Guest 
Name A Job That Requires You To Risk Your Life,Police Officer ,Fireman ,Body Guard ,Stuntman 
Name Something Thats Made Of Gold,Ring ,Chain ,Tooth ,Pen 
Name A Garment People Wear On Their Head,Crown ,Poncho ,Hat ,Tiara 
Name Someone Who Uses Hand Signals,Police Officer ,Deaf Person ,Air Traffic Control ,A Cyclist 
Name Something That Makes Your Eyes Water,Cutting Onions ,Crying ,Punch On Nose ,Laughing 
Name An Occupation Where You Have To Wear A Hat,Builder ,Policeman ,Fireman ,Beefeater 
Name Another Word For Small,Tiny ,Mini ,Titchy ,Minnoscule 
Name An Occupation In Which You Might Wear A Hat,Policeman ,Chef ,Builder ,Fireman 
Name Something People Do In the Shower,Sing ,Make Love ,Shave ,Wee / Urinate 
Name An Animal With Horns,Bull ,Rhino ,Buffalo ,Deer 
