Question,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6
Tell Me Something Your Spouse Does That Makes You Suspect They’re Angry At You,Silent Treatment,Yell,Pout/Frown,Roll Eyes,Slam Doors,Glare
Name A Spicy Food Some People Love To Eat,Chili,Curry,Tacos,Chips and Salsa,Hot Wings,Jalapeno Pepper
Name Something In the House That YounMight Not Use When People Are trying To Sleep,Vacuum,TV,Stereo,Blender,Phone,Lights
"Name Something You Can Do At A Bowling Ally, But It’s Not The Reason Most People Go",Drink,Eat,Play Video Games,Play Pool,Smoke,Meet People
Name A State Where Leaves Change Color In Fall,Vermont,New York,Maine,New Hampshire,Michigan,Ohio
Name A Food That Comes In A Sugar-Free Variety,Gum/Candy,Ice Cream,Cookies,Soda,Jello,Pudding
Name Something A Girl Wants As A Gift That Most Guys Would Never Want.,Flowers,Jewelery,Perfume,Lingerie,Makeup,Purse
Name A Specific Place Where You Often Find The Parking Lot Full,Mall,Restaurant,Grocery Store,Bank,Doctor’s Office,Sports Game
Name Something You Try To Do before It Starts To Rain,Close Windows,Cut Grass,Get Home,Laundry Off Line,Get Umbrella,Take A Walk
"Name A Pastime You’d Know Someone Has, Just By Looking At Their Shoes",GOLF,RUNNING,HIKING,DANCING,BOWLING,BASEBALL
Name A Term You’d Expect A Poker Player To Know,FOLD,FLUSH,FULL HOUSE,ANTE,BLUFF,FLOP
Name Something On Your Body That You Wiggle,NOSE,TOES,BOTTOM,EARS,FINGERS,HIPS
Name a Type Of Document That You Might File And Save For ,Taxes,Birth Certificate,Will,Marriage Certificate,Medical Bills,Insurance Forms
Name An Occupation In Which Someone With A Baby Face Might Have A Hard Time Providing Their Authority,POLICE OFFICER,LAYWER,TEACHER,DOCTOR,BOUNCER,JUDGE
"Name A Print People Wear On Clothing, But You Would Hate As Wallpaper",PLAID,FLORAL,ANIMAL PRINTS,STRIPES,POLKA DOTS,PAISLEY
Name Something You Try To Avoid Hitting While Sledding Down A,Tree,Rock,Bump,People,Fence,Parked Car
"Other Than A Ball, Name Something That A Baseball Player Gets Asked To Sign",GLOVE,JERSEY,BAT,BASEBALL CARD,CAP,PHOTOGRAPH
Name A Man Women Love Just For His Accent,Sean Connery,James Bond,Antonio Banderas,Fabio,Hugh Grant,Pierce Bronson
Name An Item Jugglers Often Juggle,BALL’S,BOWLING PINS,KNIVES/SWORDS,FRUIT,TORCHES,PLATES
"Other Than Food, Why Do You Like Going To A Chinese Restaurant",GET FORTUNE COOKIES,USE CHOPSTICKS,PRICE,ATMOSPHERE,SMELL’S GOOD,SERVICE
Name Something Babies Do That You Would Be Embarrassed To Have Someone See You Do As An Adult,BATHROOM IN PANTS,BURP,CRY,SPIT UP,DROOL,SUCK THUMB
"You’ve Had A Bad Day, Name Something You’re Told To Do To Make You Feel Better",Lay Down,Drink,Smile,Eat,Cry,Talk About It
What Might Some People Do While Playing Cards That Would Annoy Everyone Else At The Table,Tap Fingers,Smoke,Cheat,Talk,Too Loud,Annoying Laugh
Name A Specific Item In Your House That’s Too Big To Throw Away In The Trash Can,Television,Couch,Refrigerator,Microwave,Table,Bed
Name Something Grocery Stores Keep In A Glass Case,Milk,Cigarettes,Meat,Ice Cream,Alcohol,Flowers
What Might Your Cell Phone Provider Charge Extra For,Texting,Long Distance,Roaming,Overage Minutes,Internet,Games
Name A Reason A College Student Would Stay With Their Parents For The Weekend Instead Of Their Own Dorm Room.,Better Food,Laundry,Special Occasion,They’re Broke,To Visit Family/Friends,Peace & Quiet
Name Something Associated With John Travolta,Dancing,Saturday Night Live,Pulp Fiction,Grease,Pilot,Scientology
Name An Animal Mentioned In The Song “12 Days Of Christmas”,Turtle Doves,Partridge,Geese,Calling Birds,French Hens,Swans
Name Something That People Keep On Their Kitchen Table Most Of The Time,Salt/Pepper,Flowers,Napkins,Place Settings,Fruit Bowl,Table Cloth
Name Something That Comes In A Can,Vegetables,Canned Fruit,Soda,Soup,Beer,Tuna
Name A Pair Of Something That You Can Not Wear,Twins,Dice,Eyes,Tires,Scissors,Tweezers
Name A Public Place Where You’d Expect Married Couples To Show Affection,Park,Movie Theatre,Bar/Restaurant,Beach,Church,Wedding
Name A Piece Of Info That May Be Revealed On Someones Coffee Mug,Name,Age,Where You Work,Parent/Grandparent,Sex,Horoscope Sign
Name a piece of person info that you’d never list on Facebook,Address,Social Security Number,Weight,Phone Number,Age,Income
"Instead Of Getting A Job, Name Something A Person Might Do After College",Travel,Get Married,Go Back To School,Move Back Home,Party,Join The Military
Name a tv show with the word “love” in its title,Love Connection,I Love Lucy,Love Boat,Everybody Loves Raymond,Love American Style,Love Bug
Name a talent you see street performers doing,Singing,Dancing,Juggling,Mime,Playing Guitar,Magic
Name something a rockstar’s dressing room is probably full of,Costumes,Drinks,Women,Flowers,Instruments,Make Up
Name something associated With The Game Show “Hollywood Squares”,Movie Stars,Whoopi Goldberg,Tic Tac toe,Contestants,Squares,Money
Name Something You’d See More Of At A Wrestling Match Than A Tennis Match,Fighting,Men,Spandex,Yelling,Skin,Muscles
Name A Product That Might Be Disposable,Diapers,Razors,Paper Towels,Cans,Trash Bags,Paper Cups
Name Something You Need In Order To Be Popular In High School,Money,Good Looks,Car,Stylish Clothes,Good Grades,Personality
Name a household item that children turn into a toy,Broom,Box,Pots/Pans,Spoon,Keys,Phone
Name An Animal A Person With Chubby Cheeks Might Resemble,Chipmunk/Squirrel,Pig,Panda/Koala Bear,Monkey,Bulldog,Rabbit
"Name Something Your Dog Does Around The House, That You’d Kick A Roommate Out For Doing",Potty Accident,Barking,Laying Around,Chewing Things Up,Sniffing People,Ruining Furniture
Name something a little boy might do that would make you suspect his father is Tarzan,Swing From Tree,Beat His Chest,Yell,Climb A Tree,Way He Dresses,Run Around Barefoot
Tell Me A Place Where You Often Have To Pay For Parking,Mall,Hospital,Concert,Airport,Work/Downtown,Sporting Event
Name Something People Look For In Their Dream Car,Quick Accelleration,Color,Leather Interior,High Quality Stero,Comfortable Ride,Sunroof/Convertable
Name A Pair Of Something You Cannot Wear,Twins,Dice,Eyes,Tires,Scissors,Tweezers
"If You Didn’t Have To work, Name Something You’d Spend Your Life Doing",Traveling,Sleeping In,Watching TV,Shopping,Reading,Volunteer Work
"If You Were Stranded On An Island, Name Something You Might Do To Get The Attention Of A Search Plane",Start Fire,Flare,SOS,Wave Arms,Mirror,Write On The sand
Name Something A Person Might Do While Playing Cards That Would Annoy Everyone Else At The Table,Smoke,Cheat,Talk Too Much,Tap Fingers,Too Loud,Annoying Laugh
"What, Specifically, Keeps You From Getting A Degree?",Money,Bad Grades,Kids,Time,Work,Apathy
Name Something That’s Sometimes Cheaper To Replace Than Fix,Car,TV,Wash Machine,Computer,Refrigerator,Article Of Clothing
Name something you’d need to eat a lot of if you needed to gain a quick 10 pounds,Candy Bar,Potato Chips,Potatoes,Fast Food,Ice Cream,Bread
What Might Someone At The Symphony Do That Tells You They’re Enjoying The Music,Clap,Smile,Close Eyes,Hum,Tap Foot,Cry
"Name Something Every Movie Theatre, Fancy Or Not, Has",Concession Stand,Seats,Screen,Bathroom,Movies,Customers
Name a city in the United States with a busy airport,Los Angeles,Chicago,New York,St Louis,Atlanta,Dallas
Name Something Your Mom Always Told You To Keep Clean,Bedroom,Underwear,Teeth,Hands,Ears,Face
"Other Than A Hand-Buzzer, Name Something You’d Be Sure To Buy At A Gag Shop",Whoopie Cushion,Fake Vomit,Squirting Flower,Rubber Chicken,Can O’ Snakes,Fake Nose
Name a feature that an executive’s fancy office must have,Window With A View,Leather Chair,Big Desk,Guest Sofa,Private Bathroom,Fresh Flowers
Name A Household Item That You Would Take To A Special Facility To Throw Away,Oil,Paint,Batteries,Computer,TV,Fridge
Name Something You Don’t Feel Comfortable Doing At A Neat Freaks House,Eating,Smoking,Using A Bathroom,Sitting On Furniture,Keeping Shoes On,Helping To Clean Up
Tell Me Why You’d See An Adult Hiding,Fugitive,Scared,Afair,Playing With Kids,Surprise Party,Avoiding Someone
Name A Sport Where Athletes Often Wear Short Shorts,Basketball,Tennis,Soccer,Track,Volleyball,Boxing
Name Something That’s Hard To Hold Onto,Money,Water,Soap,Love,Fish,Butter
Name Something People Use To Help Them Find A Lost Item.,Flashlight,Their Memory,Metal Detector,Dog,Eyes/Glasses,Friend’s Help
Name A One Word Card Game,Uno,Poker,Spades,Solitare,War,Hearts
How Can You Tell Your Co-Worker Has Started Dating,Good Mood,Recieves flowers,Showing Up Late,New Clothes,Phone Calls,Hickeys
Name A Food Item Typically Associated With Fall,Pumpkin Pie,Turkey,Apples,Chili,Soup,Squash
Name An Animal That Might Pester You On A Camping Trip.,Bear,Dog Catcher,Racoon,Skunk,Squirrel,3
Tell Me A Name That Could Be Used For Either A Man Or A Woman.,Toni,Chris,Brandy,Jamie,Shawn,Alex
"Where Would You Find An Adult Hanging Out,If He Refused To Grow Up?",Arcade,Park,Bar,Toy Store,School,Amusement Park
"If Animals Had Yearly Check-Ups, Name One That Might Be Told To Lose Some Weight.",Elephant,Bear,Pig,Cow,Hippo,Whale
Name something you are more likely to have in common with your friends than your family,Musical Taste,Age,Hobbies,Style of Dress,Night life,Other Friends
Name something a bride would hate to realize she’s allergic to on her wedding day, Bouquet (flowers),Cake/food,Groom,Wine/Champagne,Gown/Veil,Wedding Ring
Name Something Or Someone Associated With Batman,Robin ,Batmobile ,Joker ,Cat Woman ,Alfred The Butler ,The Penguin 
Name Something You Can Only Do Naked,Bath ,Shower ,Streak ,Make Love ,Skinny Dip ,Be Born 
Name A Song Made Famous By The Beatles,Help ,Strawberry Fields ,Love Me Do ,Penny Lane ,Yellow Submarine ,Paperback Writer 
Name Something A Clown Has,Red Nose ,Big Feet ,Wig ,Painted Face ,Juggling Balls ,Squirty Flower 
Name Someone Who Wears A White Coat,Doctor ,Dentist ,A Nutter ,A Butcher ,Fishmonger ,Colonel Sanders 
Name A Reason For Sending Someone A Card,Birthday ,Wedding ,Get Well ,Christmas ,New Baby ,Valentines 
Name A Famous Brand OF Soft Drink,Coca Cola ,Pepsi ,Dr Pepper ,Tango ,Fanta ,Lilt 
Name A Way You Might Know You Were Becoming A Werewolf,Hair On Face ,Hair On Hands ,Howling ,Fangs ,Long Nails ,Cocking Leg 
Name Something You Turn On,Light ,Oven ,Ignition ,Central Heating ,Air Conditioning ,Partner 
Name Something You Might Find On Your Windscreen,Bird Droppings ,Parking Ticket ,Frost Or Ice ,Flies / Insects ,Crack ,Flyers / Ads 
Name A Sound That People Can't Control,Fart ,Burp ,Hiccup ,Tummy Rumble ,Snoring ,Sneeze 
Name A Popular Take Away Meal,Chinese ,Indian ,Pizza ,McDonalds ,KFC ,Fish & Chips 
Name A Part Of The Body You Might Have Pierced,Ear ,Belly Button ,Lip ,Nipple ,Clit ,Bellend 
Name Something That Makes You Itch,Fleas ,Itching Powder ,Insulation ,Mosquito Bite ,Detergent ,STD 
Name Something Associated With Switzerland,Mountains ,Skiing ,Cheese ,Clocks ,Yodelling ,Army Knife 
Name An Animal Or Bird Associated With Australia,Kangaroo ,Koala ,Emu ,Ostrich ,Toucan ,Platypus 
Name Something Associated With Valentines Day,Flowers ,Cards ,Hearts ,Dinner Dates ,Love Songs ,Sex 
Name A Sport In Which People Wear Shorts,Football ,Tennis ,Squash ,Badminton ,Volleyball ,Cycling 
Name Someone Who Usually Wears A Cape,Batman ,Superman ,Dracula ,Wizard / Magician ,Nurse ,Zorro 
Name A Nickname For The Toilet,Loo ,Bog ,Khazi ,Lavatory ,Little Boys Room ,John 
Name A Way You Can Tell That Someone Fancies You,Wink ,Eye Contact ,Chat Up Line ,Smile ,Buy A Drink ,Get Phone Number 
Name Something everyone Complains About,Weather ,Partner ,Queues ,Work ,Money ,Government 
Name Something You Might Find In A Church,Vicar ,Altar ,Pew ,People ,Seats ,Stain Glass Windows 
Name Something Vampires Hate,Daylight ,Cross ,Garlic ,Steak ,Blade ,Water 
Name A Part Of The Body Beginning With S,Shoulder ,Skull ,Spleen ,Scalp ,Shin ,Stomach 
Name A Famous Car FromA Tv Show,General Lee ,Knight Rider ,Starsky & Hutch ,Mr Bean ,Only Fools ,Flintstones 
Name A Fictional Comedy Character,Mr Bean ,Del Boy ,Borat ,Basil Fawlty ,Blackadder ,Ali G 
Name Something You Buy A Ticket For,Train ,Bus ,Theatre ,Parking ,Lottery ,Football Match 
Name Something A Man Does More Than A Woman,Shave ,Go To The Pub ,Swear ,Watch Sport ,Work ,Masturbate 
Name A Famous Cocktail,Caesar / Bloody Mary ,Cosmopolitan ,Margarita ,Manhattan ,Pina Colada ,Sex On The Beech 
Name Something That Is Used Only Once,Toilet Paper ,Tea Bag ,A Match ,An Ice Cube ,A Condom ,A Stamp 
Name A Famous Fictional Dog,Scooby Doo ,Lassie ,K9 ,Santa's Little Helper ,Snoopy ,Hooch 
Name A Famous Paul (Surname),Newman ,Scholes ,Mc Cartney ,O Grady ,Daniels ,Merton 
Name Something That People Find Annoying,Snoring ,Ringtones ,Smoking While Eating ,Parking Tickets ,Telesales ,Junk Mail & Spam 
Name A Famous Tv Comedian,Dawn French ,Catherine Tate ,Lee Evans ,Victoria Wood ,Billy Conelly ,The 2 Ronnies 
Name A Famous Tv Comedy Character,Mr Bean ,Del Boy ,Borat ,Basil Forty ,Blackadder ,Ali G 
Name Something You Might Find In The Garden Shed,Pitch Fork ,Spade Or Shovel ,Rake ,Lawn Mower ,Wheel Barrow ,A Hoe 
Name A Type Of Bean,Baked ,Runner ,Broad ,Kidney ,Soya ,Les-Bean (True) 
Name Something People Moan About,Weather ,Health ,Prices ,Partners ,Work ,Traffic 
Name A Famous James Bond Theme,Live & Let Die ,A View To A Kill ,Goldeneye ,Goldfinger ,Nobody Does It Better ,Living Daylights 
Name Something Other People Do You Find Irritating,Queue Jump ,Ignorance & Stupidity ,Noisy Eaters ,Liars ,Loud Music ,Smoking 
Name A Place You'd Expect To See Animals,Zoo ,Farm ,Jungle ,Pet Shop ,Safari ,Circus 
Name Another Word For A Policeman Or Woman,Copper ,Bill ,Pigs ,Mr Plod ,Sweeney ,The Fuzz 
Name Something You Jump On,Trampoline ,Bus ,Bed ,Train ,Scales ,The Wife 
Name Something You Might See On A Front Door,Knockers ,Numbers ,Letterbox ,Bell ,Lock ,Handle 
Name Another Name For A Lie,Fib ,Porky ,Untruth ,Falsehood ,Tale ,Economical With The Truth 
Name A Sport Where A Net Is Used,Football ,Tennis ,Netball ,Fishing ,Badminton ,Table Tennis 
Name A Famous Brand Of Beer,Guinness ,Fosters ,Stella ,Kronenbourg ,Grolsch ,Carling 
Name Something About A Wine Which Suggests Is Poor Quality,Price ,Taste ,Brand Name ,Country Of Origin ,Screw Off Lid ,A Hangover 
Name A Type Of Popular Beauty Treatment,Haircut ,Nails ,Facial ,Brazillian Wax ,Botox ,Massage 
Name Something You Use To Wash The Car,Sponge ,Water ,Cloth / Chamois Leather ,Hose ,Shampoo ,Bucket 
Name Something You Put In Your Mouth But Dont Swallow,Chewing Gum ,Mouthwash ,Toothpaste / Toothbrush ,Pen ,Cutlery ,False Teeth 
Name Something You Loose As You Get Older,Hair ,Mind / Memory ,Teeth ,Eyesight ,Virginity ,Looks 
Name Something A Cowboy Has,Hat ,Horse ,Gun ,Lasso ,Boots ,Chaps 
Name Something Woman Do To Make Themselves More Attractive,Make Up ,New Hairstyle ,New Clothes ,Plastic Surgery ,Loose Weight ,Fake Tan 
Name Something People Are Frightened Of,Snakes ,Heights ,Growing Old ,Flying ,Spiders ,Death 
Name A Famous Duck,Donald Duck ,Daffy Duck ,Golden Duck ,Ed The Duck ,Jemima Puddleduck,Toilet Duck 
Name Something People Really Shouldn't Do When Driving,Drink ,Talk On Phone ,Sleep ,Put On Make Up ,Pick Nose ,Shave 
Whats The Worst Thing About School,Homework ,Teachers ,Going ,Lessons ,Exams ,Bullying 
Name Something People Dream About Owning,Car ,House / Mansion ,Boat ,Money ,Football Club ,Shop 
Name Something People Drink When They Are Cold,Tea ,Hot Chocolate ,Spirit ,Soup ,Coffee ,Bovril 
Name A Male Relative,Uncle ,Father ,Brother ,Grandfather ,Brother In Law ,Father In Law 
Name An Occupation That Keeps You On Your Feet,Shop Assistant ,Nurse ,Waiter / Waitress ,Police Officer ,Hairdresser ,Runner 
Name Something Typically Japanese,Sushi ,Kimono ,Sake ,Cars ,Bonsai ,Karate 
Name Something Most People Only Have One Of,Nose ,Head ,Brain ,Heart ,Mouth ,Husband / Wife 
Name Something You Might See In An Alleyway,Cat ,Dustbins ,Junk / Rubbish ,Robber ,Drunk ,Tramp 
Name Something People Are Often Allergic To,Dust ,Pollen ,Hay ,Work ,Nuts ,Fish 
Name Something That Gets Smaller The More You Use It,Soap ,Pencil ,Lipstick ,Eraser ,Wallet ,Chalk 
Name Something That Is Hard To Keep Clean,Car ,Shoes ,Bath / Shower ,Floor ,Teeth ,Oven 
Name Something You Associate With Easter,Eggs ,Jesus ,Bunny ,Chocolate ,Holiday ,Cross 
Name A Reason People Return Gifts,Don't Like It ,Wrong Size ,Already Have ,Broken / Faulty ,Unsuitable ,Ungrateful 
Name Something You Might Practice,Piano ,Singing ,Driving ,Guitar ,Tennis ,Golf 
Name Something You Hang Things From In Your Home,Hook ,Coat Hanger ,Door Knob ,Wardrobe ,Chair ,Door 
Name Something You Buy A Box Of When Shopping,Chocolates ,Cigarettes ,Matches ,Cereal ,Tissues ,Biscuits 
Besides The Races Name A Place You Might Find A Horse,Stable ,Farm ,Show ,Circus ,Rodeo ,Carousel 
Name A Place You Might Keep A Spare Key,Pot Plant ,Under Mat ,Under Rock ,Glove Box ,Neighbour's ,Wallet 
Name A Popular Section Of A Library,Fiction ,Non Fiction ,Reference ,History ,Travel ,Sport 
Name Something You Get From A Post Office,Stamps ,Pension ,Tv Licence ,Envelopes ,Lottery Ticket ,Car Tax 
Name Somewhere Children Like To Go,Theme Park ,Seaside ,Circus ,Parties ,Zoo ,Movies 
Name Something That You Associate With David Beckham,Football ,Victoria / Posh Spice ,Hairstyles ,Good Looks ,Money ,Golden Balls 
Name A Polite Word For Your Bottom,Bum ,Backside ,Derriere ,Behind ,Rear ,Buttock 
Name Something That You Might Take The Top Off,Bottle ,Jar ,Milk ,Boiled Egg ,Partner ,Toothpaste 
Name A Food You Only Serve On Special Occasions,Birthday Cake ,Caviar ,Turkey ,Roast ,Christmas Pudding ,Christmas Dinner 
Besides People Name Something You Might See At An Airport,Aeroplanes ,Runway ,Luggage ,Check In Desks ,Shops ,X-Ray 
Name A Brass Musical Instrument,Trumpet ,Trombone ,Tuba ,French Horn ,Bugle ,Bazooka 
Name Somebody That Uses A Whip,Jockey ,Dominatrix ,Lion Tamer ,Ringmaster ,Indiana Jones ,Wife / Partner 
Name A Famous Chess Piece,Pawn ,Knight ,Rook ,Queen ,Bishop ,King 
Name A British Airport,Manchester ,Heathrow ,Gatwick ,Luton ,Liverpool ,Stanstead 
Name A Type Of Party,Birthday ,Hen / Stag ,House Party ,Fancy Dress ,Political ,Christmas 
Name Something You Blow,Whistle ,Bubbles ,Balloon ,Nose ,Candle ,Kisses 
Name Someone Who Works In The Dark,Coal Miner ,Photographer ,Security Guard ,Cinema Usher ,Burglar ,Tube Driver 
Name Another Way Of Saying Goodbye,Ta Ra / Ta Ta ,See You Later ,Cherio ,Ciao ,Bye Bye ,Adios 
Name Something You Might Find On A Dinner Table,Food ,Plate ,Cuttlery ,Table Cloth ,Glasses ,Flowers 
Name Something Cars Didn't Have 50 Years Ago,Airbags ,Seatbelts ,Cd Player ,Air Conditioning ,Sat Nav ,Electric Windows 
Name Something You Don't Want To Do When Tired,Cook ,Housework ,Homework ,Talk ,Walk ,Have Sex 
Name Something You Might Find On A Miniature Golf Course,Golf Balls ,Windmill ,Golf Clubs ,Cup / Hole ,Putting Green ,Hills / Humps 
Name Something That Makes A Noise When You Open It,Can Of Drink ,Door ,A Jar ,Bag ,Car Door ,Music Box 
Name Something You Can Pinch,A Person ,Cheek / Baby's Cheek ,An Inch ,Fat ,Skin ,Money 
Name Something A Person Might Wear Even If It Has A Hole,Socks ,Underwear ,Jeans ,Tee Shirt ,Shirt ,Shoes 
Name A Sport You Play In Teams,Football ,Hockey ,Basketball ,Rugby ,Volleyball ,Polo 
Name A Place Where People Like To Listen To The Radio,Car ,Bathroom ,Bedroom ,At Home ,Living Room ,At Work 
Name Something You'd Find In A Rich Persons Mansion,Butler ,Paintings ,Long Drive ,Spiral Staircase ,Grandfather Clock ,Swimming Pool 
Name Something A Hypnotist Might Tell You To Do,Close Eyes ,Act Like A Dog ,Rest / Relax ,Act Like A Chicken ,Give Me Your Money ,Wake Up 
"Name Something People Do To Their Bodies, Others Think Is Madness",Pierce ,Tattoo ,Exercise ,Shave ,Tan ,Cosmetic Surgery 
Name A Phrase That Has The Word Home In It,Home Sweet Home ,No Place Like Home,Welcome Home ,Home Is Where The Heart Is ,Home Alone ,Homeward Bound 
Name A Piece Of Furniture People Need Help Moving,Settee ,Sofa ,Fridge ,Piano ,Bed ,Washing Machine 
Name A Place Where You Would See Someones Initials,Tree ,Registration Plate ,Memos ,Tattoos ,Clothes ,A Wall 
Name A Famous British Serial Killer,Rose West ,Dr Crippin ,Fred West ,Myra Hindley ,Ian Brady ,Jack The Ripper 
Name Something You'd Put In An Ad When Selling Your House,Price ,Location ,Number Of Bedrooms ,Garage (Y/N) ,Garden (Y/N) ,Leasehold / Freehold 
Name A Well Known Brand Of Scottish Whisky,Bells ,Glenfiddich ,Grants ,Teachers ,Famous Grouse ,Whyte & Mackay 
Name Someone Who Works With Animals,Vet ,Film Star ,Chef ,Lion Tamer ,Trainer ,Zoo Keeper 
Name Something Children Have Today That Their Parents Didn't,Computers ,Video Games ,Televisions ,Video Recorder ,Dvd ,Internet 
Name A Food That Comes In A Jar,Pickles ,Peanut Butter ,Marmalade ,Baby Food ,Olives ,Jam 
Name A Job Children Do To Earn Pocket Money,Do Dishes ,Wash The Car ,Mow The Lawn ,Trim Hedges ,Tidy Their Room ,Polish 
Name Something That Makes A Noise When It's Turned On,Radio ,Tv ,Car ,Engine / Motor ,Mower ,Partner 
Name Something that Gets Heated,Water ,Soup ,Pan / Saucepan ,Food ,Coffee ,An Argument 
Name Something A Child Might Complain About While At Camp,The Food ,Being Homesick ,Insects / Bugs ,Boredom ,Too Hot ,Too Cold 
Name Something People Do On Christmas Day,Open Gifts ,Go To Church ,Christmas Carols ,Eat ,Family Get Together,Drink 
Name Something A Couple Might Save From Their Wedding Day,Cake ,Pictures ,Ring ,Wedding Dress ,Cake Or Ornament ,Flowers 
Name Something That Has An Alarm,Clock Radio ,Car ,Smoke Detector ,Watch ,Bank Vault ,House 
Name Something That You Roll Up,A Blind ,A Newspaper ,A Cigarette ,Sleeves ,A Poster ,Sleeping Bag 
Name Someone Or Something You Might Love More Than Your Partner,Pet ,Family ,Football Team ,Chocolate ,Celebs ,Yourself 
Name A Famous Scottish City,Glasgow ,Edinburgh ,Aberdeen ,Dundee ,Kilmarnock ,Perth 
Name Something Associated With Alaska,Snow ,Iceburgs ,Eskimos ,Polar Bears ,Pipeline / Oil ,America 
Name Something you Refill,Bottle ,Fuel Tank ,Prescription ,Coffee Cup ,Glass ,A Pen 
Name Something A Dentist Says To You Every Visit,Are You Brushing ,Open Wide ,Brushing Properly ,This Won't Hurt ,Are You're Teeth Ok,Hello 
Name Something That Robbers In The Movies Always Say,Put Your Hands Up ,Get Your Hands Up ,Give Me Your Money ,Freeze ,Hands Up ,Nobody Move 
Name A Popular Australian Soap,The Sullivans ,Bluey ,Home & Away ,Prisoner ,Neighbours ,Sons & Daughters 
Name A Job That Involves A Lot Of Cutting,Hairdresser ,Butcher ,Lumberjack ,Gardening / Pruning ,Chef ,Film Director 
Name A Reason Someone Might Wear A Hat,Sun ,Bad Hair Day ,Raining ,Bald Head ,Like It ,Part Of A Uniform 
Name An Animal People Wish Didn't Exist,Snakes ,Rats ,Spiders ,Mosquitoes ,Cockroaches ,Sharks 
Name An Item Of Clothing That Men Only Wear On Dressy Occasions,Tie ,Tuxedo / Black Tie ,Cummerbund ,Suit ,Jacket ,Waist Coat 
Name Something That People Wear On Their Legs,Jeans ,Trousers ,Shorts ,Tights ,Knee Pads ,Shin Pads 
Name Something You Cut In Half Before Eating,Sandwich ,Steak ,Apple ,Cake ,Watermelon ,Pizza 
Name An Age Children Stop Believing In The Tooth Fairy,8 ,7 ,6 ,9 ,10 ,12 
Name A Product That Might Be Disposable,Nappies ,Razors ,Paper Towels ,Paper Cups ,Rubbish Bags ,Condoms 
Name Something You Take On A Picnic,Food ,Blanket ,Kids ,Football ,Frisbee ,Dog 
Name Something That Melts,Ice Cream ,Candle ,Butter ,Chocolate ,Lard ,A Heart 
Name Something In Spaghetti Sauce,Tomatoes ,Meat ,Garlic ,Peppers ,Oregano ,Mushrooms 
Name Something A Pizza Delivery Person Hates,Not Getting A Tip ,Dogs ,Driving Around ,Bad Neighbourhoods,Bad Directions ,Hoax Calls 
Name Something You Can Mess Up When Taking Someones Picture,Finger Over Lens ,Shake Camera ,Lens Cap ,Out Of Focus ,Cut Head Off ,Forget Flash 
Name A Famous England Footballer From The 80's,Gary Lineker ,Kevin Keagan ,Ray Wilkins ,Glen Hoddle ,Trevor Francis ,Viv Anderson 
Name A Famous Person From Wales,Charlotte Church ,Tom Jones ,Richard Burton ,Harry Secombe ,Shirley Bassey ,Anthony Hopkins 
Name A Reason You Might Send Someone A Card,Birthday ,Christmas ,New Baby ,Sympathy ,New Job ,Get Well 
