Question,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5
Name A Reason Why It’s Hard To Talk To An Attractive Person,Shy,Been Drinking,Too Noisy,Lots Of Competiton,Crowded Room
"Which Fears, Adult/ Childish Men Pretend Not To Do",Dark,Committment,Rejection,Heights,Crying
Name A Person In Your Life Dislike Partner,Mom,Friends,Kids,Sibling,Dad
What Might Hypnotist Do To Prove You Are Hypnotized,Bark,Act Like Chicken,Go To Sleep,Sing,Dance
Name Something Dog Owner Wish Never Did,Go To Bathroom,Bark,Bite,Shed,Dig
What Might You Find Under Couch Cushion?,Coins,Food,Remote Control,Keys,Dirt
Why Might You Regret Picking Up A Lost Dog?,Fleas,Bites,Rabies,Get Attacked,Dirty
Name A Way To Avoid Spending A Lot On Christmas Gifts,Homemade,Sales,Set A Budget,Re-Gift,Discount Stores
If You Lived In Soap Opera Land,Drama,Suspicious Deaths,Love Affairs,Weddings,Divorce
Something Teenagers Do That Makes Parents Angry,Stay Out Late,Talk Back,Smoke,Lie,Drink
Name Something You Are Smarter About Now Than When You Were A Teenager,Money,Life,Relationships,Driving,Drinking
"If Money Isn’t An Object, Who Do People Hire To Help Make Their Life Easier?",Maid,Chef,Butler,Nanny,Driver
Name Something Specific That Women Wear That Hurts,Girdle,Bra,High Heels,Thong,Earrings
What Do New Parents Wish Baby Learn Quickly,Potty Train,Walk,Talk,Sleep,Eat
Name An Expense That Goes Up In The Month Of December,Grocery Bill,Gift/ Shopping Budget,Travel Expenses,Heating Bill,Electric Bill
Name Someone In A Man’s Life Who You’D Want To Meet Before Marrying Him,Parents,Kids,Best Friend,Sublings,Ex
Name Something About Grandmas Looks That Could Be Fake,Teeth,Hair,Chest,Eyelashes,Eyebrows
Name Something Specific England People Eat,Kiss,Smoke,Spit,Pick Nose,Fight
Why Might A Waiter Say He Had Bad Day?,No Tips,Rude Customers,Spill/ Drop Food,Busy,Fired
Name A Feature Of Most Parade That Scare Children,Clowns,Sirens,Masks,Gunshots,Fireworks
Best Food To Go Out For On Friday Night,Pizza,Wings,Steak,Chinese,Fish
Name Someone Who Make Money Off Of Giving Advice,Lawyer,Therapist,Doctor,Financial Planner,Fortune Teller
Name A Specific Reason Co-Worker Drinks After Work,Hard Day,Birthday,Promotion,Date,Friday
"Before 21, A Place A Young Person Could Hang On Friday Night",Mall,Movie,Skating Rink,Bowling Alley,Friends House
Two-Word Phrase That Starts With Secret,Service,Agent,Admirer,Santa,Garden
Which Activity Can A Mother Do With Daughter Not With Sons,Shopping,Makeup,Dress Up,Manicure,Get Hair Done
Which Part Of Your Morning Routine Won’t Leave Home Without Doing,Brush Teeth,Shower,Makeup,Fixing Hair,Getting Dressed
Name something you might be scared of while camping.,Bears,Snakes,Bugs,Dark,Ghost
Name A Type Of Lawn Ornament,Pink Flamingo,Statue,Bird Bath,Flower Pot,Gnome
Name Something You Do Same Time Every Day,Eat Meals,Wake Up/ Sleep,Brush Teeth,Shower,Go To Work/ School
Christmas Gift You Would Have Hard Time Wrapping,Car,Bike,Ball,TV,Golf Clubs
What Do Soap Opera Characters And Wealthy People Have In Common?,Money,Dramatic Lives,Big Houses,Nice Clothes,Good Looks
Name A Reason Someone Might Chop Up His Credit Card,Maxed Out,Expired,Paid It Off,Fraud,Got A New One
Which Musical Instrument Least Expect In A Country Music Band,Flute,Tuba,Electric Guitar,Saxaphone,Harp
Name An Article Of Clothing Women Think Men Look Handsome,Suit,Tie,Shorts,Blue Jeans,Hat
Name A One Word Term People Use Playing Cards,Deal,Fold,Pass,Uno,Hit
Name A Place That Has Internet Now But Not Long Ago,Library,Hotel,Cafe,Fast Food,Home
Name Something Babysitter Hopes Kids Will Be Doing,Sleeping,Behaving,Playing Games,Watch TV,Homework
Name Something That’s Sticky,Gum,Glue,Tape,Syrup,Honey
Give A Nickname For A Spouse That Is Also A Dessert,Cupcake,Cookie,(Sweetie) Pie,Muffin,Honey Bun
Name A Piece Of Information You’d Include In Personals Ad,Age,Height,Marital Status,Weight,Horoscope Sign
Name Something Offered To First Class Airline Passesngers,Alcohol,Food,Movies,Pillows,Hot Towel
Word For Handsome Man You Would Feel Funny Saying,Hunk,Sexy,Stud,Cutie,Hottie
Name Something Really Tall Person Has To Think Twice Before Buying,Pants,Car,Shoes,Bed,House
Place You Don’t Like To Set Foot If On A Diet,Restaurant,Bakery,Candy Shop,Scale,Ice Cream Shop
Name Something People Should Never Leave House Without,Keys,Money,Phone,Clothes,Id
Name Name Something You Bring With You Everywhere,Money,Cell Phone,ID|,Keys,Ipod
Name A Country Whose Food You Know Better Than Its Language,Italy,China,Mexico,France,Japan
Name A Type Of Restaurant Might Not Be Able To Pronounce Anything On Menu,French,Chinese,Italian,Mexican,Japanese
"In One Word, What’s The Best Thing About Being Married?",Love,Intimacy,Companionship,Money/ Security,Kids
What Do You Check Before Going To Bed?,Doors/ Locks,Lights,Alarm Clock,Stove,Kids
Name Something About Wife Makes You Think She’s A Witch,Has A Broom,Nose,She’s Magic,Personality,Laugh
Name A Reason Why Someone Might Not Ride Their Bike To Work,Raining,Dangerous,Too Far,Get Sweaty,Lazy
What Might Kid Forget To Bring To Pool That Would Keep Him From Swimming,Swimsuit,Floaties,Towel,Goggles,Life Jacket
Name Something That Comes With A Drink Of A Fancy Cocktail,Olive,Umbrella,Cherry,Lemon,Lime
Name Something That Gets Picked Up,Kids,Girls,Mess,Trash,Mail
Name Someone Who Might Ask For Your Signature,Bank,Fan,Cashier,Lawyer,Mail Carrier
Extracurricular Activity Parent Says Is Good For Child,Sports,Music,Dance Class,Theatre,Martial Arts
"If You Order Pasta At A Restaurant, What You Assume Come With",Sauce,Bread,Salad,Grated Cheese,Meatballs
Name Something At The Playground Wish Adult Size,Slide,Swings,Monkey Bar,See Saw,Merry Go Round
Name Something Las Vegas Has More Of Than The Average City,Casinos,Bright Lights,Beautiful Women,Night Life,Money
Name Something A Devoted Cheerleader Would Know About Her School,Team Name,Mascot,Colors,Fight Song,Motto
Name Something Smoker May Do Before Going In For A Kiss,Mint,Spray,Chew Gum,Brush Teeth,Mouthwash
Name A Place Where Many People Go Once A Week,Church,Grocery Store,Gym,Bank,Movie Theater
Name Something Dogs Hate Owners To Put On Them,Leash,Collar,Clothes,Flea Spray,Muzzle
Name Something Some Women Wear Very Short,Skirt,Shorts,Hair,Shirt,Nails
Name Someone You Would Hate To Get Fender Bender With,Police,Mom,Kids,Lawyer,Neighbor
"Besides A Horse, Which Animal Is Used For Transportation",Mule,Camel,Dog,Elephant,Ox
Name something a fast food restaurant has that a fancy restaurant would never have.,Burger and Fries,Drive Thru,Disposable Cup/Fork,Ketchup Packets,Paper Napkins
Name Something First Time Parent Has To Do Before Baby Is Born,Buy Crib,Buy Clothes,Buy Diapers,Baby Shower,Parenting Classes
Name Something A Couple Worry Less Of After Children,Money,Intimacy,Time,Privacy,Partner’s Love
Name Something You Might Skip When You Are Sick,Work,Meals,Bathing,Working Out,Party
Button On TV Remote Husband Will Wear Out,Channel,Volume,Mute,On,Pause
Name Something You’d Sneak Into A Movie Theater To Avoid To Keep From Buying It At The Concession Stand.,Candy,Popcorn,Chips,Soda,Pizza
Name An Activity You Turn The Lamp On For,Read,Write,Tv,Puzzle,Play Cards
Name A Topic Shouldn’t Bring Up In A Job Interview,Family,Yourself,Money,Last Job,Politics
Fruit That Is Hard To Break Into,Pineapple,Coconut,Watermelon,Cantaloupe,Pomegranite
Name An Occupation Not For Partner Too Stressful,Police,Doctor,Lawyer,Teacher,President
Name Something That Would Keep You From Restaurant If It Was Bad,Food,Service,Bugs,Sanitary Condition,Price
What Would You Prefer To Have Less Of,Bills,Fat,Stress,Work,Problems
Another Phrase To Say “Stop Bothering Me”,Leave Me Alone,Go Away,Bug Off,Get Lost,Quit It
Where Might A Child Be Sent If Misbehaving In School,Principal,Detention,Time Out,Home,Reform School
Name A Reason Why You Might Get Introduced Many People At Once,Party,Wedding,New Job,Famous,Reunion
Circus Performer That Would Have Easiest Time Getting Dates,Clown,Lion Tamer,Acrobat,Strong Man,Ringmaster
Job That Requires You To Talk All Day Long,Telemarketer,Receptionist,Teacher,Customer Service,Salesperson
Name A Food That Has Layers,Cake,Lasagna,Onion,Pizza,Sandwich
Name A Place Where You Might End Up Dancing With Stranger,Bar,Wedding,Concert,Party,School Dance
Name Something You Would Have To Be Without When Cops Pull Over,License,Registration,Insurance,Cell Phone,Seat Belt
Tell Me Something Your Teenager Washes Less Often Than You,Clothes,Hair,Dishes,Car,Sheets
Habit Impossible To Hide From Spouse,Smoking,Drinking,Biting Nails,Gambling,Shopping
Somethng Babies Are Born With Little Or None Of,Hair,Teeth,Knowledge,Money,Sight
Name An Animal That Has A Unique Pattern To Their Fur/ Hide,Zebra,Tiger,Cheetah,Leopard,Skunk
Name Something People Do To Pass Time On Long Road Trip,Sing,Read,Talk,Listen To Music,Sleep
Name Something A Camper Does That He Wouldn’t Do At Home,Light Fire,Use Latrine,Hike,Sing Campfire Songs,Sleep In Tent
What Would You Be Surprised A Car Navigation System Advise You To Do,Speed,Stop The Car,Go The Wrong Way,Crash,Slow Down
Name Something You Hope Your Friend Doesn’t Do Housesitting,Party,Steal,Use Your Clothes,Make A Mess,Smoke
Animal A Two Timing Boyfriend Gets Compared To,Dog,Pig,Rat,Weasel,Snake
"Name Something Around The House That Your Family Members Use The Last Off, And Don’t Replace",Toilet Paper,Milk,Tissue,Toothpaste,Soap
Where Do You Think It’s Appropriate For Men To Go Shirtless?,Beach,House,Gym,Front Yard,Spa
Name A Country That Is Known For Its Spicy Food,Mexico,India,Italy,Thailand,Spain
Name A Place Where You Hate To Save Seats For People,Movie Theater,Public Transit,Place Of Worship,Concert,Sporting Event
Name A Substance Of Which Animals Make Home Of,Twigs,Mud,Leaves,Grass,Straw
People Find Hard To Do When There Is Loud Noise,Sleep,Read,Concentrate,Talk,Study
What You Would Need To Dress As John Lennon,Glasses,Long Hair,Guitar,Hippie Clothes,Suit
Name Something People Use To Wake Them Up,Phone,Dog,Radio,Rooster,Sun
Name Something A Diver Might Look For Underwater,Marine Animals,Treasure,Shells,Missing Person,Sunken Ship
What Is A Bad Habit A Little Kid Would Have,Pick Nose,Suck Thumb,Bite Nails,Lying,Swearing
Name Name Something A Kid Would Look For In A New House,Swimming Pool,Backyard,Big Bedroom,Own Bathroom,Swing
Name An Action Movie Star Does No Stunts,Tom Cruise,Brad Pitt,Bruce Willis,Will Smith,Sylvester Stallone
Name A Chore You Get Out Of If It Rains,Mowing Lawn,Washing Car,Gardening,Raking,Taking Out Trash
Name Something Women Do More Of In Relationships,Cook,House Chores,Show Affection,Show Emotion,Talk
Name Something You Would Do To See If Fruit Was Ripe,Squeeze,Smell,Cut Open,Feel It,Taste It
"Other Than Alcohol, Name Beverage Kids Drink Less Than Adults",Water,Coffee,Soda,Milk,Tea
Some People Name That Isn’t Alive,Car,Rock,Plant,Boat,Teddy Bear
Name Something That Makes Loud Sound When It Pops,Balloon,Popcorn,Gun,Gum,Tire
Tell Me A Body Part Strong As Arnold Schwarenegger,Tongue,Brain,Heart,Finger,Toe
Flavor Found In Candy And Coffee,Vanilla,Chocolate,Caramel,Mint,Toffee
Name A Reason Kids Give For Not Liking School,Homework,Boring,Teacher,Bullies,Too Hard
Name A Reason Why Somebody Would Be Underground,Dead,Mining,Subway,Hiding,Tornado
Name A Type Of Tv Show Wouldn’t Want Grandma On,Talk,Reality,Dating,Romantic Drama,True Crime
Name Something In Your Life You Want Bigger,House,Bank Account,Muscles,Car,TV
Tell Me Something You Often See For Sale Classified Section,Cars,Houses,Pets,Furniture,TVs
Cowboy Might Do To Catch Woman’s Eye,Tip Hat,Lasso Skills,Ride Horse,Wink,Two Step
Name A Place Where You’d Hid Mess Company Coming,Closet,Bedroom,Cupboard,Under Rug,Under Couch
Name A Magazine Or Tabloid Headlines You Don’t Always Believe,Star,National Enquirer,People,Globe,Us Weekly
Tell Me Worst Way To Be Woken Up,Scream,Splash Water,Shake,Jump On Bed,Use Alarm
Tell Me A Type Of Character That Appears In Fairy Tales,Fairy,Princess,Witch,Prince,Villain
Which Instrument Might You Be Playing Wait For Part To Come,Drum,Flute,Cymbals,Triangle,Violin
Name A Type Of Insurance That Employers Don’t Provide,Auto,Dental,Life,Home,Vision
"When Your Husband Gets Home After A Long Day Work, Ready To Do?",Sleep,Eat,Relax,Shower,Watch TV
Name An Animal That Stays With One Partner,Penguin,Human,Bird,Wolf,Whale
Name A Term For “Little Boy” That Old Person Might Use,Lad,Sonny,Youngin,Kiddo,Whippersnapper
Name A Piece Of Paper You Were Nervous To Sign,Marriage License,Employment Contract,Mortgage Loan,Divorce,Will
"At A Bar, How Can You Tell That Someone Is Interested In You?",Buys you a drink,Smiles,Stares,Makes Eye Contact,Winks
Name A Place That Almost No parent Would Forbid Their Child From Going.,School,Place Of Worship,Park,Library,Bed
"When A Kid Says “I’M Bored”, Name Something A Parent Often Suggests.",Read A Book,Go Out Side,Clean,Finish Homework,Play Game
Name a question Your Server Usually Asks At Least At A Restaurant.,Ready To Order,Is Everything OK,Want A Refill,Need Anything Else,Want The Bill
How can You Tell The Show You’re watching Is Made Fore Kids?,Cartoon,Songs,Puppets,Rating,Commercials
Name something That People Blow Up.,Balloon,Bombs,Fireworks,Bubble Gum,Doll
Name Something That Can Make You Sick On A Long Car Ride,Reading,Bumps,Speed,Curves,Eating Too Much
"Name Something You Do While Watching A Scary Movie At Home, That You Can’t Do In A Theatre",Scream,Hide Under Blanket,Cry,Turn It Off,Go To Another Room
Name Something A Rich Woman Might Have.,Diamonds,Fur Coat,Mansion,Nice Car,Maid
Name Something People Put On Their Salad To Make It Taste Better.,Dressing,Cheese,Salt/Pepper,Croutons,Meat
Name Something Babies Need A Lot Of.,Milk,Love,Attention,Diapers,Sleep
What do many people do on the day after thanksgiving.,Shop,Sleep,Eat Leftovers,Watch Football,Clean Up
Name Something That people Do That Distracts Them While Driving.,Talk On Cell Phone,Eat/Drink,Adjust Radio,Smoke,Put on Makeup
Name A Complaint People Have About Late-night TV,Boring,Too Late,Commercials,Bad Language,Adult Content
Name something from an art class that young children might take a taste of.,Glue/Paste,Paint,Clay,Crayon,Chalk
Name The Sexiest Piece Of Clothing That A Woman Can Wear In Public,Skirt,Swim Suit,High Heels,Shorts,Jeans
Name A Reason You Look Bad When You Have A Cold,Red Nose,Puffy Eyes,Pale,No Sleep,Messy Hair
Name Something A Woman Treats Better Than Her Husband,Pet,Kids,Car,Hair,Shoes
Name Something Specific About Your Parenting That Your Mother-In-Law Thinks You Should Do Differently,Discipline,Children’s Eating,Children’s Dress,Bed Time,Teach Manners
Name A Sport You Can’t Compete In While Wearing Shoes,Swimming,Gymnastics,Hockey,Martial Arts,Beach Volleyball
Name A Hobby You Associate With Macho Men,Weightlifting,Wrestling,Football,Cars,Boxing
Name A Common Pet That Would Be Weird To Actually Pet,Snake,Fish,Lizzard,Bird,Frog
"On Family Fued, Name Something The Host Asks Players About",Family,Job,Name,Age,Hometown
Why Wouldn’t You Want To be Bothered While On The Computer,Working,Playing A Game,Chatting/Email,Studying,Looking For Love
Name A way To Travel For Free,Walk,Hitchhike,Bike,Airline Miles,Stowaway
Name Something You Always Bring Along For A Day Of Fishing,Pole,Bait,Lunch,Beer,Tackle Box
Name A Type Of TV Show That You Wouldn’t Want To See Your Grandma On,Reality TV,Dating Show,Talk Show,Romantic Drama,True Crime
Name A Talk Show You Might Go On To Tell About Your Disaster Wedding,Oprah,Jerry Springer,Maury,Dr Phil,Tyra Banks
"Name Something That You’ve Never Seen In Real Life, But You See At Least 3 Of In Every Action Movie",GUN,EXPLOSION,MONSTER,ALIEN,CAR CHASE
What Should A Clown Avoid Wearing When Not On Duty,RED NOSE,WIG,BIG SHOES,MAKEUP,COSTUME
Name Something Many Parents Want Their Kids Home At A Certain Time For.,Dinner,Bedtime,Homework,Chores,Curfew
Name Something A Prisoner Might Daydream About Doing Once He Is Free,PHYSICAL AFFECTION,EATING WELL,DRINKING,VISITING FAMILY,GETTING A JOB
"If Your Taking A Hawaiian Vacation, Name Something You’d Need To Buy Before You Go",SUNSCREEN,TICKETS,NEW CLOTHES,SWIMSUIT,GUIDE BOOK
What Type Of Pet Might A Person Have If They Live In A Small Apartment,CAT,FISH,BIRD,DOG,HAMSTER
Name Something You’re Not Supposed To Do To A CD,SCRATCH,COPY,TOUCH BOTTOM,GET WET,LEAVE IN SUN
"Name Something Kids Must Be Forced To Do, But Adults Love ",Sleep,Eat,Take A bath,,Read
What Does A human Have That A Robot Doesn’t,Heart,Brain,Blood,Emotions,Skin/Hair
Name Something Thats Included When You Go On A Cruise,FOOD,COCKTAILS,LODGING,ENTERTAINMENT,SNORKLING TOUR
Name Something That would Keep You From Sleeping On An Airplane,Noisy Kids,Bad Weather,Baby Crying,Knees In The Back,??
"Besides Food, What Else Do You Buy At A Supermarket",Magazines,Detergent,Toilet Paper,Newspaper,??
Name A Celebrity Who Sells Products On Infomercials,Suzanne Somers,George Foreman,Dionne Warwick,Linda Evans,Billy Blanks
Name A Place Where You Can See Teachers Relaxing,Teachers Lounge,Bar,Homework,Library,Cafeteria
Name Things That Are Part Of The American Dream,Money,House,Freedom,Apple Pie,Car
Which Part Of Hotel Room Furnishings Is Often Tacky,Bedspread,Curtains,Couch,Art,Carpet
Name A Card Or Board Game That Many Families Play Together,Monopoly,Scrabble,Clue,Spades,Cranium
Tell Me Something Nerdy You Had In High School Photos But Not In Photos Today,Glasses,Braces,Big Hair,Acne,Flashy Background
Name A Place On The Body That Women Tattoo But Men Usually Don’t,Lower Back/Bottom,Ankle,Chest,Foot,Hip
Name Something A MAn Asks His Friends For A Second Opinion On,His Live Life,Buying A Car,His Career,His Outfit,His Finances
Name Something You Can Do With A Pumpkin Once Halloween Is Over,Make Pie,Smash It,Throw It Away,Toast Seeds,Make Soup
Name Something Every Woman Should Take With Her On Blind Date,Cell Phone,Money,Mace,Friend,Own Transportation
Name Something Associated With Jimmy Carter,President,Peanuts,Amy Carter,Habitat For Humanity,Roselyn Carter
Name Something Associated With The 50’s,Hula Hoop,Barbie,Yo Yo,Mr Potato Head,Slinky
Which Superhero Would You Trust To Babysit Your Children,Batman,Incredible Hulk,Spider man,Superman,Wolverine
NameSomething Associated With Melanie Griffith,Movies,Actress,Antonio Banderas,Don Johnson,Blonde Hair
What do you get at the dentist that makes going worthwhile,Toothbrush,Candy,Sticker,Laughing Gas,Clean Teeth
Tell Me Something That Many People Are Too Shy To Do In Front Of Others,Kiss,Sing,Speak,Try On Clothes,Dance
Name Something A Gardener Does A Lot Of On The Job,Cut Grass,Watering,Painting,Pulling Weeds,Digging
Name A Food kids Love To Eat For Breakfast,Cereal,Pop Tarts,Waffles,Pancakes,Eggs
"If You Want To Read A Book Without Paying For It, Where Might You Spend Too Much time",Library,Book Store,School,On Line,Friend’s House
"While eating at a restaurant,name something the waitress comes back to the table to do",Refill Drinks,Take Order,Clear Dishes,Check On You,Give The Bill
Name A Type Of Sandwich A Kid Might Take To School,Peanut Butter/Jelly,Cheese,Bologna,Salami,Ham
"Name A Place On The Body That Women Tattoo, But Men Usually Don’t",Lower Back/Bottom,Ankle,Chest,Foot,Hip
Name something you associate with Richard Simmons,Exercise,Weight Loss,Curly Hair,Short Shorts,Kissing People
Whats The Best Thing About Going To The Drive-In,Kissing,Stay In Car,Privacy,Big Screen,No Standing In Line
Name something that people pitch,Baseball,Horseshoes,Ideas,Movie,Sales Pitch
Name a beverage you can buy at a gas station,Soda,Water,Alcohol,Coffee,Slurpee
What will a friend do while eating that would make you want to move to another table,Smoke,Burp,Sneeze,Mouth Open,Smack
Tell me something on TV that people make predictions while watching,Weather,Sports Game,Game Show,Crime/Mystery Show,Soap Opera
Name Something Parents Tell Their Kids To Do So They Don’t Get Sick During Flu Season,Wash Hands,Dress Warm,Eat Vegies/Fruit,Get Vaccine,Take Vitamins
"Living Or Dead, Name A Man Named Ted",Ted Bundy,Ted Kennedy,Ted Turner,Theodore Roosevelt,Ted Koppel
Name Something Warn As A Part Of A Movie Theatre Uniform,Hat,Vest,Name Tag,Jacket,Tie
"Besides Food, Name Something You Buy At A Supermarket",Magazines,Greeting Cards,Derergent,Newspapers,Toilet Paper
Name Something An Athlete Wouldn’t Do The Night Before A Big Game,Drink,Have Sex,Stay Up Late,Eat Too Much,Tough Work Out
Name Something Associated With Garth Brooks,Country Music,Guitar,Cowboy,Cowboy Hat,Country Accent
Name A Website Everyone Has Heard Of,Google,Facebook,Yahoo,Amazon,Ebay
Name Something Some Siblings Have In Common That Others Don’t,Parents,Hair,Eye Color,Last Name,Facial Features
Name Something A Parent May Grill Their Daughters About,Age,Job,Curfew,Education,Intentions
Name Someplace Couples Went On Dates In The Fifties They Don’t Usually Go Anymore,Drive In Movie,Soda Fountain,Diner,Lovers Lane,Sock Hop
Name a Famous Mystery Writer,Agatha Christie,Arthur Conan Doyle,Dashiell Hammett,Raymond Chandler,Sue Grafton
Name Something You Might Find In A Spook House,Ghost,Skeleton,Spiderwebs,Monsters,Witch
Name something cars have today they didnt’ have 50 years ago,Air Bags,Seat Belt,CD Player,Cruise control,Computer
"Besides Mickey, name a character you’re likely to find on a t-shirt at Disneyland",Donald duck,Goofy,Minnie Mouse,Pluto,Dumbo
Name A Talent You See Street Performers Doing,Singing,Magic,Juggling,Mime,Guitar
Name something you do when approached by a salesperson in a store,Avoid them,Ask for help,Smile,Say Hi,Just looking
Name a vehicle that would be hard to learn how to operate,Big Rig,Airplane,Tractor,Bulldozer,Tank
Name Something You Do If You Run Out Of Clean Pants,Go Commando ,Wear Inside Out ,Wash Them ,Wear Partners ,Wear Dirty Ones 
Name Something You Might Discuss With A Hair Dresser,Your Hair ,Weather ,Traffic ,Tv ,Your Partner 
Name A Famous Ginger Celebrity,Chris Evans ,Geri Halliwell ,Cilla Black ,Mick Hucknall ,Anne Robinson 
Name Something You Wouldn't Eat With Your Fingers,Soup ,Spaghetti ,Rice Pudding ,Ice Cream ,Curry 
Name Something Dentists Put In Your Mouth,Fingers ,Mirror ,Drill ,Scraper ,Torch 
Name A Trick Dogs Do That You Wish You Could Teach Your Partner,Fetch ,Beg ,Roll Over ,Be Quiet ,Lay Down 
Name A Way Of Telling Someone Is Lying,Eye Contact ,Blush ,Lie Detector ,Nose Grows ,Sweat 
Name A Type Of Oil,Olive Oil ,Sunflower Oil ,Motor Oil ,Oil Of Olay ,Crude 
Name Something A Referee Carries With Him,Whistle ,Red Card ,Yellow Card ,Notebook ,Pen / Pencil 
Name Something You Might Do If Your Partner Snores,Nudge Them ,Sleep Elsewhere ,Kick Em Outa Bed ,Ear Plugs ,Divorce Them 
Name A Reason You May Need Binnoculers,Bird Watching ,At The Races ,Spying ,On A Boat ,At The Theatre 
Name A Place Where You Can Sleep,Bed ,Sofa ,Hammok ,The Floor ,A Tent 
Name A Popular Pie Filling,Apple ,Steak & Kidney ,Beef & Onion ,Chicken ,Cherry 
Name Something You Might Do To Pass Time On A Plane,Sleep ,Read ,Watch Movie ,Listen To Music ,Play a Game 
Name Something Slippery,Ice ,Snake ,Banana Skin ,Oil ,Snow 
Name A Food Stuff That Has A Strong Smell,Curry ,Cheese ,Fish ,Garlic ,Onions 
Name A Famous Person With The Surname Cooper,Henry ,Tommy ,Jilly ,Gary ,Alice 
Name An Excuse People Give For Being Late,Traffic ,Overslept ,Car Trouble ,Someone Died ,Got Lost 
Name A Famous Biblical Duo,Adam & Eve ,Cain & Abel ,Samson & Delilah ,David & Golliath ,Mary & Joseph 
Name A Sport In Which You Throw Something,Javelin ,Discus ,Shot Put ,Hammer ,Judo 
Name An Occupation That Involves Touching People,Doctor ,Massage / Beauty ,Nurse ,Dentist ,Hairdresser 
Name An Outdoor Occupation,Gardner ,Street Sweeper ,Lollipop Person ,Farmer ,Fisherman 
Name A Type Of Agent,Estate ,Secret ,News ,Travel ,Insurance 
Name Something People Are Afraid To Try Even Through It Seems Fun,Bungee Jumping ,Parachuting ,Roller Coaster ,Hang Gliding ,Skiing 
Name Something Associated With The Amazon,Jungle ,Rain / Rainforest ,River ,Snakes ,Piranhas 
Name Something You Pay For Once A Year,Insurance ,Tax ,Rates ,Tv Licence ,Christmas Presents 
