Question,Answer 1,#1,Answer 2,#2,Answer 3,#3,Answer 4,#4,Answer 5,#5
Name Something For Which You Get A Warranty.,Car,54,TV,23,Watch,8,Computer,4,Appliance,3
Name Something In A Regular House That Might Be Missing In A Batchelor Pad.,Furniture,37,Food,31,Decoration,9,Family,7,Appliances,4
"Name Something That’s Currently Legal, That People Should Be Banned From Doing While Driving",Smoking,32,Eating,23,Sipping Drink,20,Using Cell Phone,18,Applying Make Up,4
Name A Reason The Bride And The Groom Might Leave The Reception Early,Leave For Honeymoon,38,A Little Privacy,26,Tired,15,Too Much To Drink,4,Arguing,4
Where Does A Woman Try To Avoid Leaving Lipstick Marks?,Teeth,38,Shirt,22,Glass,13,Someone’s Cheek,13,Around Lips,11
Name A Piece Of Home Decor That Sometimes Comes With Wild Patterns,Curtains,39,Wallpaper,28,Couch,22,Rug,5,Artwork,4
We Asked 100 Men: What Excuse Might You Make Up To Start A Conversation With An Attractive Stranger At A Bar?,Ask For The Time,37,Do I Know You?,28,Comment On Weather,15,Buy A Drink,10,Ask For Directions,6
Name A Profession You’d Shoot For If You Wanted To Be Famous,Actor,54,Musician,26,Model,7,Politician,6,Athlete,4
Where Do You Get You Christmas Tree From Every Year?,Store,34,Woods,33,Tree Lot,11,Tree Farm,8,Attic,5
What Accent Might An American Pretend To Have In Order To Sound Sexier,French,61,British,18,Italian,8,Spanish,8,Australian,3
Name A Reason Why A Kid Might Not Trick-Or-Treat,Scared,46,Sick,24,Too Old/Young,23,No Costume,3,Bad Weather,3
Name Something People Wear That Has Their Company Logo On,Shirt,40,Hat,38,Jacket,10,Uniform,7,Badge,3
Name A Profession That Requires Really Good Balance,Tightrope Walker,29,Acrobat,25,Gymnast,17,Trapeze Artist,13,Ballerina,11
Name A Hobby Whose Participants Are Also Called “-Geeks”,Chess,42,Computer,35,Video Games,9,Math,7,Band,5
Name Something People Associate With The Swiss,Cheese,56,Alps,17,Chocolate,10,Watches,6,Bank Accounts,5
Name A Place Where Many People Would Feel Uncomfortable Going Without A Date.,Movie Theatre,32,Dance,27,Wedding,19,Restaurant,17,Bar,3
Name An Activity That Could Be Rained Out,Sports Event,45,Picnic,34,Wedding,10,Concert,7,Barbeque,3
Tell Me A Place In The House Where A Nosey House Guest Might Snoop.,Bedroom Doors,47,Medicine Cabinet,36,Fridge/Pantry,7,Closets,5,Basement,3
Name A Sport That Might Be Played At A Family Reunion.,Football,54,Baseball,21,Horseshoes,8,Frisbee,7,Basketball,6
Name A Place People Might Go For Peace And Quiet.,Library,48,Park,16,Church,14,Bedroom,13,Beach,7
Name Something Kids Are Taught About Abe Lincoln,16th President,56,Honest,23,Tall,7,Abolitionist,6,Beard,5
Name Something You Would Allow The House Sitter To Use While At Your Place,Phone,40,TV,35,Bathroom,12,Computer,8,Bed,3
Name A Game That Would Be Inappropriate At A Company Party,Spin The Bottle,41,Strip Poker,32,Twister,11,Truth Or Dare,11,Beer Pong,3
Tell Me Something That Would Get You Thrown Out Of Most Bars,Getting In A Fight,45,Drinking Too Much,29,Not Paying,6,Stripping,5,Being Underage,3
Name Something Specific That’s Out Of Proportion In A Child’s Drawing,Head,70,Hands,11,House,9,Sun,5,Belly,4
Name Something That Youâ€™D Find More Commonly In France Than In The Us,Wine,52,Cheese,19,French People,10,Art,8,Beret,8
Name A Type Of Hat That You Don’t See Many People Wear In Real Life,Top Hat,45,Cowboy Hat,28,Fedora,6,Straw Hat,5,Beret,5
Name An Occasion For Which People Return To Their Hometown,Reunion,37,Christmas,27,Wedding,21,Funeral,10,Birthday,3
What Would You Need If You Wanted To Dress A Rocky Balboa For Halloween?,Boxing Gloves,32,Muscles,29,Shorts,18,Wig,9,Black Eye,4
Name A Recreational Activity Traditionally Done In Hot Weather,Swimming,44,Basketball,18,Volleyball,17,Surfing,11,Boating,7
Name Something Specific A Man Often Compliments A Woman On When Trying To Pick Her Up.,Eyes,51,Hair,29,Smile,8,Clothes,8,Body,3
Name A US City That Probably Has A Lot Of Single People,New York,42,Los Angeles,25,San Francisco,12,Las Vegas,4,Boston,4
Name Something that Might Come Out Of Your Nose When You Laugh.,Snot,48,Milk,38,Water,5,Soda,4,Breath,3
Name Something That’s Hard To Do On A Particularly Hot Summer Day.,Run,50,Go In To Work,18,Yard Work,15,Sleep,10,Breathe,5
Name A Clothing Trend From The 1980S That Has Come Back In Style,Stretch Pants,32,Tight Jeans,21,Leg Warmers,15,Big Hair,12,Bright Colors,7
Name Something You Know About The Easter Bunny,Carries Eggs,45,Hops,15,Some Don’t Believe,15,White,15,Brings Candy,6
What Would Compel A Consumer Of A Food Product To Call Costumer Service?,Stale Food,52,Hair In Food,17,Bugs In Food,13,Food Poisoning,10,Broken Seal,5
Name A Famous Building That’s Big Enough To House A Dinosaur.,Empire State Bldg,38,White House,28,Sears Tower,17,Eiffel Tower,9,Buckingham Palace,5
Name A Breed Of Dog That Might Be Used As A Guard Dog,German Shepard,36,Pit Bull,23,Doberman Pinscher,20,Rottweiler,8,Bulldog,5
"Tell Me A Type Of Work Vehicle, That’s Often Seen As A children’s Toy",Dump Truck,43,Fire Engine,34,Tractor,10,Police Car,6,Bulldozer,3
Name Something The Sign Outside A Hotel Might Tell You,Vacancy,46,Nightly Rate,18,Hotel’s Name,11,No Smoking,6,Cable TV,6
What’s The First Thing A Husband Does When He Finds Out His Wife is Pregnant?,Cry,51,Faint,21,Hug Her,13,Celebrate,7,Call Family,4
"Name Something That Someone Who Gets Dates Has, That Someone Who Doesn’t Get Dates Doesn’t Have.",Good Looks,35,Money,26,Intimacy,20,Charm/Confidence,9,Car,9
Name A Type Of TV Commercial That’s Usually Targeted At Men.,Beer,38,Cologne/Aftershave,29,Razors,13,Deodorant,4,Car,4
Tell Me Something You Would Never Borrow From Your Close Friend.,Money,42,Underwear,38,Toothbrush,8,Mate,5,Car,4
Who Or What Might You Give A Nickname To?,Pet,34,Friend,26,Child,23,Partner,12,Car,3
What Might A Kid Get In Trouble For Writing On?,Wall,51,School Desk,30,Clothes,6,Skin,3,Car,3
"If There Was A Gourmet Cafe For Dogs, Which Coffee Flavors Would Likely Be On The Menu?",Beef,43,Milkbone,25,Bacon,13,Chicken,9,Cat,8
"What Might A Child Bring To Summer Camp, In Case They Get Homesick",Family Photo,36,Teddy Bear,28,Blanket,23,Pillow,6,Cell Phone,4
Name Something A Woman Might Take Home From Her Best Friend’s Wedding,Bouquet,60,Cake,27,Man,4,Photos,3,Centerpiece,3
"Name Something You Would See On Jerry Springer, But Not On Oprah",Fighting,56,Nudity,22,Security,6,Jerry Springer,4,Chairs Thrown,3
"Tell Me Something People Do With Horses, But No Other Farm Animals.",Ride,54,Race,21,Brush Them,11,Train/Show Them,5,Change Shoes,3
"Name Something You Do At Work, Although You Know You’re Not Supposed To",Use Cell Phone,35,Take Naps,19,Surf The Internet,17,Smoke,11,Chat Online,9
"Name A Food That Dogs Love Just As Much As Humans Do.(Meat Is Not An Answer, Be More Specific)",Steak,48,Chicken,14,Bread,13,Hamburger,13,Cheese,8
"Name Something People Do At The Dinner Table, Even Though It’s Considered Bad Manners",Burp,41,Elbows On Table,32,Talk With Full Mouth,18,Eat With Hands,3,Chew With Mouth Open,3
Which Of Your Family Members Is Hardest To Shop For Around The Holidays?,Mom,36,Dad,24,Spouse,16,Grandparent,8,Child,5
"If Your Work Wanted People To Stick Around The Office More, What Should They Bring In?",Free Food,54,A TV Set,14,Alcohol,13,Music,9,Childcare,4
Name Something That You Would Be Willing To Pay Twice As Much For At A Convenience Store Because You Need It Quickly.,Milk,41,Cigarettes,22,Painkiller,14,Feminine Products,13,Chocolate,6
What Might A Woman Brag That Her Husband Is Better At Than Most?,Kissing/ Intimacy,42,Cooking,23,Fixing Things,12,Making Money,7,Cleaning,6
Name Something People Do While Riding A Rollercoaster,Scream,43,Raise Arms,32,Get Sick,13,Laugh,4,Close Their Eyes,4
"Other Than Himself, Name Something A Man Cleans Before A Big Date (More Specific Than “House”).",Car,45,Bathroom,22,Kitchen,19,Bedroom,6,Clothes,6
Name A Gift That Most Women Would Be Thrilled To Get For Christmas,Jewelry,42,Car,21,Cash,19,Perfume,7,Clothes,5
Name Something You Always Have With You So You Don’t Get Lost,Map,58,Compass,17,Cell Phone,12,GPS,7,Co Pilot,3
Name Something You Might Pay Someone To Do While You’re Away On Vacation,Care For Pets,28,House Sit,27,Water Plants,20,Babysit,15,Collect Mail,4
Name A Milestone For Most Teenagers,Driver’s License,46,Graduation,34,First Kiss/ Date,7,Prom,6,College,4
Name Something Form Home you Might Miss On Vacation.,Pet,38,Bed,30,Family,11,TV,9,Computer,7
"If Your Boss Finds You Sleeping On The Job, What Excuse Might You Give For Having Your Closed Eyes?",Thinking/ Concentrating,53,Headache/ Allergies,24,Praying/ Meditating,8,Something In Eye,5,Contact Lens/ Dry Eyes,5
Name Something A Baby Does That Would Be Considered Flirting If An Adult Did It,Blow Kisses,32,Smile,29,Bat Eyelashes,17,Giggle,13,Coo,7
We Asked 100 Women: Name Something You Like To See A man Do Because It Expresses His gentle Side.,Cry,63,Open Door,15,cuddle,8,Play With Kids,4,Cook For Me,3
Name Something You Shouldn’t Have For Lunch Right Before A Driving Test,Alcohol,41,Beans,33,Onions,12,Garlic,11,Leaving Things,3
Other Than Academic Why Might A Teen Choose A Certain College?,Sports Team,47,Location,28,Friends are Going,11,Party School,9,Cost Of Tuition,3
Name Something You Don’t Want The Person Next To You To Do While You’re Eating.,Pass Gas,28,Sneeze,22,Smoke,19,Blow Nose,15,Cough,8
Name A Way That A Man’s Voice Might Change When Talking To His Love Interest.,Deepens,31,Softer,31,Nervous Stutter,15,Higher Pitch,7,Crack,6
What Item Might A Person Who Can’t Cook Be Asked To Bring To Thanksgiving?,Drinks,25,Salad,20,Dessert,20,Rolls,17,Cranberry Sauce,15
What Would You Hear On The Radio That Would Make You Turn The Station?,Commercial,34,News,26,Bad Songs,18,Static,17,Cursing,4
We Asked 100 Women: Where Do You Wish Your Partner Was More Willing To Go With You?,Shopping,45,Church,19,Movie Theatre,16,Salon/Spa,6,Dancing,3
Name Something You Might Do With Your Days Off Around Christmas?,Shop,43,Sleep,35,Vacation,11,Cook,5,Decorate,4
Which Part Of Holiday Preparation Do You Always Put Off Til The Last Minute?,Shopping,42,Cooking,22,Cleaning,19,Wrapping Gifts,8,Decorating,8
"If Your Company Was Saving Money, Name Something That Might Not Be At The Holiday Party.",Food,42,Alcohol,40,Gifts,9,Music,4,Decorations,3
"When She’s Run Out Of Money, What Might A Gambler Put On The Table?",Jewelry,43,Car Keys,19,Credit Card,14,Articles Of Clothing,8,Deed To House,6
Name Something Specific About Santa That Causes Children To Be Afraid Of Him At The Mall.,Beard,49,Size,34,Hearty Laugh,8,Stranger,5,Deep Voice,3
Name A Reason Why Another Driver May Flash Their Headlights At You.,Police Ahead,38,Driving Too Slow,23,Lights Off/On,20,Brights On,9,Deer/Animal In The Road,7
Name A Celebrity Who’s So Handsome He Could Make A Santa Suit Look Sexy.,Brad Pitt,63,George Clooney,20,Tom Cruise,6,Will Smith,5,Denzel Washington,3
For What Occasion Did Your Partner Last Look Stunning?,Wedding,61,Anniversary,18,Prom,6,Birthday Party,6,Dinner Date,3
Name An Appliance You Have Only One Of.,Toaster,27,Stove,24,Microwave,23,Refrigerator,16,Dishwasher,8
Name Something People Are Often Chased By In Movies,Monster,37,Cars,22,Cops,19,Bad Guys,10,Dogs,10
Name A Food Or Drink That You Smell Outside A Restaurant In The Morning,Bacon,35,Coffee,35,Eggs,16,Bread,5,Doughnut,5
Name A Reason You Might Be Driving More Cautiously Than Normal.,Rain,35,Children On Board,24,Snow,15,Accident Ahead,13,Driver’s Test,9
Name A Slow-Moving Vehicle That You Hate To Get Stuck Behind,Bus,34,Semi Truck,26,Tractor,23,Garbage Truck,6,Dump Truck,4
Name Something You Shouldn’t Do After Getting A Manicure,Wash Hands,30,Wash Dishes,19,Drive,17,Touch Anything,17,Eat,15
Name Something You Can Get In Extra Large,T-Shirt,54,Fries,18,Pizza,13,Soda,9,Eggs,5
Name Something A Bad Golfer Often Runs Out Of,Golf Balls,40,Tees,24,Patience,21,Clubs,11,Energy,3
Name Something People Do Before Bed That Makes It Hard To Sleep.,Eat,46,Drink Coffee,32,Watch TV,9,Shower,6,Exercise,5
Name Something On Your Body That You Want To Be Shiny.,Hair,39,Teeth,22,Nails,17,Lips,8,Eyes,6
Name A Way You Know Your Teacher Is Having A Bad Day.,Yells A Lot,36,Grumpy,22,Extra Homework,19,Gives Punishments,16,Facial Expression,3
Name A Job In Which You’d Stand In One Place All Day,Store Clerk,56,Bank Teller,19,Security Guard,11,Toll Collecter,6,Factory Worker,5
Name A Reason You May Get A Tattoo Removed.,Ex’s Name,46,It’s Ugly,20,Got Old,15,Occupation,12,Faded,7
Name A Place Where People Get New Recipes,Internet,35,Cookbook,27,TV,24,Friends,7,Family Recipe,4
Name A Big Expense That Some Parents Plan For Years In Advance.,Child’s Education,41,Child’s Wedding,18,Retirement,13,Buying A House,13,Family Vacation,12
Name Something Specific A Waiter Would Do To Get Good Tips,Smile,37,Be Friendly,28,Return Often,12,Flirt,12,Fast Service,6
Name A Reason Why You Might Skip Lunch.,Not Hungry,45,Too Busy,16,On A Diet,12,Work/Meeting,10,Feeling Sick,5
What Should A Man Dress As If He Wants To Get A Lot Of Dates On Halloween?,Hustler,31,Dracula,30,Prince,13,Superman,12,Firefighter,10
Name An Occupation In Which You Might Be In A New City Every Night,Pilot,47,Salesperson,17,Musician,10,Truck Driver,8,Flight Attendant,7
Name A Weather Condition You Hate To Drive In,Snow,46,Rain,26,Icy Roads,9,Sleet/ Hail,8,Fog,5
Name Something Most Families Talk About When They Get Together.,Work,28,Family Members,26,School,22,Old Times,11,Food,10
Name A Job You Might Have If You Worked At Disneyworld.,Costume Character,35,Ride Operator,26,Stage Performer,14,Ticket Seller/Taker,10,Food Vendor,8
Name A Game Adults Play At A BBQ Party,Poker,31,Horseshoes,31,Volleyball,11,Baseball,8,Football,7
Name The High School Subject You Use Least Often Today,Advanced Math,39,Science,21,History,15,Art,10,Foreign Language,6
Name Something A Kid Might Do To Get Out Of Participating In Gym Class,Fake Sick,48,Get Injured,19,Doctor’s Note,9,Skip Class,8,Forget Gym Clothes,5
Name Something Very Old That You Find At Many Museums.,Dinosaur Bones,41,Mummy,25,Paintings,20,Statues,6,Fossils,6
"Other Than Christmas, Name An Occasion For Which People Decorate Their Houses.",Halloween,43,Easter,16,Thanksgiving,14,Birthday,9,Fourth Of July,7
Name A Word That Means “Stop.”,Halt,43,Quit,23,No,14,Pause,9,Freeze,8
Name Something Children Often Catch,Illness,54,Ball,17,Bugs/ Butterflies,16,Fish,8,Frogs,3
Which Imagninary Holiday Character Would You Least Like To Have On Your Relay Race Team?,Santa Claus,39,Easter Bunny,27,Grinch,12,Ebenezer Scrooge,9,Frosty,5
What Do A Lot Of People Eat On Christmas,Turkey,39,Ham,31,Cookies,13,Candy,7,Fruitcake,3
Name Something In Your House That Has To Be Changed From Time To Time.,Sheets,41,Light Bulb,30,Air Filter,7,Batteries,7,Furniture/Decor,6
"Why Might You Fly Home For The Holidays, Instead Of Driving?",Faster,55,Distance,14,Avoid Traffic,13,Road Conditions,9,Gas Prices,6
Name Something You Wouldn’t Want Your Kid Bringing Home From School.,Lice,31,Bad Grades,24,Drugs,21,Illness,7,Germs,6
"When Sitting Next To Someone She Likes, Name Something A Woman Does To Flirt.",Smile,39,Wink,23,Chat Them Up,11,Play With Hair,10,Giggle,7
Name Something Many People Would Be Sacred To Do Alone At Night,Walk Home,47,Sleep,35,Drive,7,Watch Scary Movie,5,Go For A Jog,4
Name A Time When A Wife Often Chooses Her Husband’s Clothes For Him.,Wedding,41,Worship Service,26,Party,15,Work/Interview,6,Going For Dinner,5
Name A Word For Someone Who Never Does Anything Wrong,Perfectionist,34,Saint,25,Angel,21,Do Gooder,10,Goody Two Shoes,8
Name a Place Where Youd Least Expect to See a Superhero.,Jail,27,Place Of Worship,25,Mall,19,Bar,19,Grocery Store,8
"If You Lived With A Bodybuilder, Name A Word You’d Often Hear Around The House",Diet,27,Muscle,26,Protein,15,Weights,14,Gym,9
"Other Than Clothes, Name Something A Kid Might Outgrow",Toys,48,Bed,28,Hairstyle,13,Bike,5,Habits,5
Name The Important Firsts That People Record About A Baby.,Word,41,Steps,31,Tooth,16,Smile,8,Haircut,3
"Other Thank Family And Friends, Name A Person You Give A Gift Or Tip To During The Holidays",Coworker,50,Mail Carrier,28,Teacher,11,Newspaper Delivery,6,Hairdresser,3
Name Something You Eat That Can Be Described As Juicy.,Orange,56,Peach,14,Steak,14,Apple,12,Hamburger,3
"If There Were No Clean Plates, What Might You Eat Over?",Napkin,35,Sink,25,Table,15,Bowl,13,Hand,7
Name A Body Part That Swells On A Pregnant Woman,Feet,35,Belly,33,Ankles,18,Face,3,Hands,3
"We Asked 100 Women: If You’re Underdressed For A Party, What Can You Put On Quickly To Look Dressed Up?",Jewelry,33,Make Up,31,Jacket,15,Scarf,8,Heels,8
Name Something A Guy Might Do When He’s With His Girlfriend That His Buddies Might Tease Him About.,Kissing,25,Holding Hands,23,Crying At A Movie,21,Go Shopping,16,Hold Door Open,11
"Other Than “Christmas”, Name A Word That’s In Almost Every Christmas Song",Merry,39,Santa,22,Snow,17,Bells,9,Holiday,6
What Complaints Do People Make About The Christmas Holiday?,Expense,27,Nosey/Pesky Relatives,24,Traffic/Traveling,20,Crowds,13,Holiday Food,10
Where Do You Hear Christmas Songs Throughout December?,Store,51,Radio,31,Place Of Worship,8,TV,6,Home,3
Name A Reason Why You Might Not Get A Good Night’S Sleep While Staying At Someone Else’S House,Not Your Own Bed,52,Noisy House,17,Host Has Pets,10,House Is Unfamiliar,9,Homesick,7
Name Something That People Believe Will Tell You A Lot About A Person,Eyes,51,Clothes,16,Hands,12,Smile,11,Horoscope Sign,4
Name A Place Where It’d Be Smart For A Lawyer To Advertise.,Jail,35,Court,31,TV,11,Billboard,9,Hospital,7
"If You Had To Be Locked Inside A Building For A Year, Which Place Would You Want It To Be?",Shopping Center,31,Restaurant,26,Grocery Store,23,Home,12,Hotel,7
Name A Reason You’d Stay Inside On A Saturday.,Bad Weather,46,Sick,38,Tired,6,Watching TV,5,Housework,4
Tell Me Something You Might Lie To A Friend About.,Age,30,Your Income,28,Weight,21,Who You’re Dating,13,How They Look,5
Name Something a Germ-O-Phobe Would Refuse To Do On A Date,Kiss,51,Hold Hands,23,Shake Hands,13,Share a Drink,4,Hug,3
Name Something People Add To Their Tea.,Sugar,57,Lemon,20,Milk,11,Honey,8,Ice,3
"What Might A Hitchhiker Take With Him, In Order To Seem Less Dangerous?",Child,37,Puppy,36,Teddy Bear,8,Woman,3,ID,3
Name A Reason Why You Don’t Answer The Phone When You’re Home.,Don’t Want To Talk,33,Sleeping,31,Busy,16,Telemarketer,7,In The Shower,7
Name A Reason Why A Child Might Not Want Long Hair,Hot,38,Tangles,24,Looks Like A Girl,19,Hard To Wash,7,In Their Eyes,7
Other Than A Job Name Something For Which You Fill Out An Application.,Credit Card,31,Loan,27,School,18,Housing Rental,14,Insurance,5
"Unlike Age Or Weight, Name A Number That You’d Be Surprised For Someone To Offer Before A Blind Date.",Phone Number,36,Income,26,Social Security,14,Past Lovers,8,IQ,3
Name Something In The House That You Shouldn’t Leave On When You Go Out.,Lights,35,Oven,34,Coffeemaker,12,TV,5,Iron,3
Name A Language Spoken In Europe.,French,49,English,21,Spanish,11,German,9,Italian,6
Name An Article Of Clothing That Children Are Always Losing,Socks,47,Shoes,18,Gloves,15,Hat,9,Jacket,7
Tell Me A Food That People Often Slurp While Eating,Soup,62,Spaghetti,27,Cereal,4,Ice Cream,3,Jell O,3
What Is The Best Gift For Your Boss To Give You Around The Holidays?,Raise/Bonus,55,Days Off,22,Holiday Food,8,Gift Card,7,Jewelry,4
"Name Something Many People Spend A Lot Of Money On, Just To Impress Others.",Clothes,41,Car,40,House,10,Hair Cut,3,Jewelry,3
Name Something That A Las Vegas Entertainer’s Outfit Would Have Sewn On,Sequins,52,Feathers,16,Name,11,Beads,9,Jewels,9
"On His 18th Birthday, What Would A Mom Hate To Hear Her Son Say? “Mom, I’m_____”",Moving Out,31,Getting Married,25,Going To Be A Dad,19,Dropping Out,10,Joining Military,5
Name A Profession That Would Help You Be Good At Solving Crossword Puzzles.,Teacher,58,Writer,17,Librarian,13,Editor,8,Journalist,4
Name Something Cinderella Would Have A Hard Time Doing In Her Glass Slippers.,Running,54,Tap Dancing,17,Walking,13,Mopping,7,Jumping,6
Name Something People Supposedly Do Differently Than Animals,Eat,43,Walk,25,Communicate,19,Think,8,Keep Clean,3
"What Could Your Computer Run Without, But It Would Be A Bummer Not To Have?",Internet,31,Mouse,30,Printer,16,Speakers,12,Keyboard,8
"Instead Of “Courage” Or “A Brain”, What Quality Would You Ask The Wizard Of Oz For?",Love,30,Strength,26,Beauty,24,Wisdom,12,Kindness,5
"If An Alien Landed At Christmas Time, Name A Christmas Tradition That Would Be Hard To Explain.",Santa,38,Wrap/Exchange Gifts,22,Tree In House,20,Caroling,8,Kiss Under Mistletoe,7
Name A City Were You Would Expect To Find Beautiful People,Hollywood,30,New York,24,Miami,21,Paris,20,Las Vegas,4
"Name A Professional You May Come In Contact With, But Should Never Flirt With.",Cop,37,Boss,25,Teacher,14,Priest,9,Lawyer,8
Name A Fruit That You Squeeze To See If It’s Ripe.,Orange,48,Peach,16,Melon,16,Tomato,9,Lemon,8
"Before A Part-Time Job, Name A Way That Kids Earn Money.",Chores,37,Babysitting,27,Paper Route,16,Mow Lawns,14,Lemonade Stand,4
"Name A Print You’d Find On A Woman’s Dress, But Not On A Country’s Flag.",Floral,43,Plaid,26,Polka Dots,17,Paisley,7,Leopard Print,5
"Name Something A Parent Tells Their Teen, ” I Never Did At Your Age”",Smoke,48,Drink,27,Date,6,Talk Back,4,Lie,3
Name A Board Game That Takes A Long Time To Play.,Monopoly,42,Chess,19,Scrabble,15,Risk,10,Life,9
Tell Me Something You Feel Before You Buy It.,Fruit/Vegetables,44,Clothes,23,Bread,13,Pillow,11,Linens,7
"What Do You Do When You Want To Sing Along With A Song, But Don’t Know The Words?",Hum,66,Mumble,18,Pretend To Know,6,Whistle,4,Lip Sync,4
Name Something You Wish Your Kids Would Do Without Having To Be Told Twice.,Clean,54,Homework,14,Go To Bed,13,Brush Teeth,11,Listen,5
Name Something People Do In December In Order To Get In The Holiday Spirit,Decorate,55,Buy Gifts,26,Sing Carols,7,Put Up Tree,6,Listen To Music,5
Why Might You Leave A Restaurant Before Even Eating There?,Dirty,42,Bad Service,35,Crowded,9,Bugs Bunny,8,Long Wait,4
Which Trait Of A Good Teacher Would Also Be Important For A Good Con Man?,Smart,54,Outgoing,17,Convincing,12,Trusted,7,Looks Professional,7
Name An Occupation That Might Get Tired Of Wearing The Same Thing Every Day,Nurse,33,Doctor,26,Police Officer,21,Food Server,13,Mail Carrier,4
Tell Me Something Specific That A Barber Must Get Sick Of Doing,Cutting Hair,46,Shaving,25,Sweeping,12,Standing,7,Making Conversation,7
Which Actor Do You Think Gets The Most Love Letters?,Brad Pitt,57,Tom Cruise,13,Geoge Clooney,12,Zac Efron,4,Mel Gibson,4
Name A Celebrity Who You’re Pretty Sure Has Had Plastic Surgery,Joan Rivers,34,Pamela Anderson,29,Cher,12,Dolly Parton,10,Michael Jackson,9
Which Famous Painter Would You Ask To Paint Your Portrait?,Picasso,49,Van Gogh,15,Da Vinci,12,Monet,12,Michaelangelo,10
Name Something You Wouldn’t Leave In You Car On A Hot Day,Dog,31,Child,24,Chocolate,18,Ice Cream,18,Milk,6
Name A Kind Of Drink You Wouldn’t Want To Have Spilled On You.,Wine,36,Coffee,35,Beer,13,Juice,8,Milk,5
Name A Good Day Job For A Body Builder,Personal Trainer,42,Construction,19,Bouncer,13,Lifeguard,9,Model,6
Name Something Found In Las Vegas That You’d Like To See More Of In Your Home Town,Casinos,60,Bright Lights,18,Beautiful Women,8,Night Life,7,Money,5
Tell Me An Animal You Associate With India,Elephant,43,Camel,22,Tiger,19,Cow,9,Monkey,4
Name A Place Where Thereâ€™S Often A Line For The Womenâ€™S Restroom,Bar,29,Concert,26,Mall,19,Restaurant,13,Movie Theatre,11
Name Something That Grows Without Being Watered.,Hair,28,Weeds,25,Cactus,19,People,17,Nails,3
What Do People Use To Keep Their Place In A Book If They Don’t Have A Bookmark?,Paper,55,Fold Page,18,Pen,13,Card,8,Napkin,4
"If Santa Showed Up At Your Work Holiday Party, What Might Your Co-Workers Request For Christmas?",Bonus,38,Raise,25,Car,11,Time Off,10,New Boss,5
"Name Something A Boy Scout Wouldnâ€™T Need To Start A Fire, But You Do",Matches,46,Lighter,25,Gasoline,12,Kindling,11,Newspaper,4
Name a Situation When It’s Better To Ride A Bike Than Take A Taxi,Traffic Jam,69,No Money,12,Want Exercise,7,Short Distance,5,Nice Weather,4
Name An Article Of Clothing That Only A Neat-Freak Would Iron,Underwear,47,Socks,29,Jeans,14,Tie,5,Nightgown,3
Name A Reason Why Someone Might Make Fun Of Your Dance Moves,They’re Jealous,25,Don’t Know Steps,25,Old Fashioned Moves,22,Clumsy/Tripping,17,No Rhythm,8
Name Something Specific A Person May Change In Order To Become A Celebrity,Body,32,Name,29,Hair,15,Attitude,10,Nose,6
Tell Me Something Specific You Hate About Going To The Dentist,Drill,59,Waiting,13,Bill,8,Shots,8,Numb Mouth/ Novacaine,7
Name Something Women Wear That Becomes Uncomfortable After A While,Brassiere,50,High Heels,21,Underwear,15,Girdle,9,Nylons,3
Name A Musical Instrument Made Out Of Wood,Guitar,30,Violin,26,Flute/Pipe,18,Clarinet,8,Oboe,5
