Question,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7
What Might You Do After Eating Dinner?,Sleep,Watch TV,Burp,Smoke Cigarette,Brush Teeth,Dishes,Dessert/ Coffee
Name A Reason Your Eyes Might Water,Onions,Crying,Allergies,Smoke,Yawn,Sick,Dirt
Name Something That Usually Comes In Sets Of 12,Eggs,Donuts,Roses,Beer,Soda,Socks,Dishes
Animal Shape In Box Of Animal Crackers,Elephant,Lion,Tiger,Monkey,Giraffe,Bear,Dog
"Besides An Office, Place To Find Copy Machine",Grocery Store,Library,Convenience Store,Post Office,Copy Shop,At Home,Drugstore
What Profession Would You Want Mate To Have Useful House,Plumber,Carpenter,Doctor,Housekeeper,Chef,Mechanic,Electrician
What Would Make You Leave Restaurant Before Ordering,Dirty,Bugs,Bad Service,Crowded,Smell,Noise,Emergency
"At A Spookhouse, What Do You Do To Make The Experience Less Scary?",Close Eyes,Take A Friend,Giggle,Drink,Run,Hold Hands,End Of The Line
Name Something Better In The 50’s,Cars,Music,Food,Gas Prices,Economy,TV Shows,Fashion
Name Something A Disneyworld Character Forbidden Costume,Smoke,Eat,Swear,Talk,Drink,Flirt,Fight
Name Something People Do At A Bar Besides Drink,Eat,Talk,Flirt,Smoke,Dance,Play Pool,Fight
Profession That Would Make Women Think Twice About Marrying,Policeman,Garbage Man,Lawyer,Stripper,Truck Driver,Drug Dealer,Fireman
Name Something That You’d Want To Avoid If You Wore A Toupee.,Wind,Swimming,Exercise,Ceiling Fan,Convertible,Roller Coasters,Flames
Name Something A Bartender Probably Tired Custmr,Getting Drunk,Not Tipping,Fighting,Yelling,Complaining,Vomiting,Flirting
Department At A Home Improvement Store,Paint,Plumbing,Lumber,Bathroom,Kitchen,Electical,Flooring
"You Use Cheese To Catch A Mouse, But What Do You Use To Catch A Spouse?",Money,Looks,Food,Smile,Love,Flirting,Flowers
Name A Skill That A Person’s Resume Might Claim Than Are,Typing,Working Hard,Communication,Computer Program,Sales,Customer Service,Foreign Language
Name Something You Might Find On A Person’s Arm,Tattoo,Hair,Watch,Bracelet,Cast,Lover,Freckle
Name A Breakfast Food That Could Just As Easily Be A Dessert,Pancakes,Muffin,Donut,Waffles,Pop Tarts,Cinammon Roll,French Toast
Tell Me Something A Grandma Passes On To Her Grandchildren,Jewelry,Money,Recipes,Pictures,Stories,Advice,Genes
Name Something A Person Sitting Next To You At A Bar Might Do To Annoy You.,Smoke,Flirt,Talk Too Much,Get Drunk,Burp,Stare,Get Too Loud
Complaint Circus Clown Might Have About Job,Bad Kids,Too Many Kids,Smells,Low Pay,No One Laughs,Costumes Are Hot,Gets Tired
Name Something That Might Make Your Road Trip Stressful,Bad Traffic,Getting Lost,Car Trouble,Car Accident,Kids Misbehaving,Lost Wallet/ Cash,Getting Sick
Name Something You Wear That Never Comes With Pockets,Underwear,Socks,Hat,Shoes,Swim Suit,Watch,Gloves
What Would You Hate To Learn You Did After Drinking At Company Party?,Flashed Someone,Kissed Co-Worker,Got Sick,Passed Out,Danced On Tables,Fell Down,Got Into A Fight
Color Of Car You Would Never Buy,Pink,Yellow,Purple,Orange,White,Gold,Green
Name Something A Person Has A Hard Time Remembering When They Get Old,Birthdays,Where They Put Items,Names,Peoples Ages,The Past,Phone Numbers,Grocery Items
Name Something That A Person Doesn’t Remember As They Get Old,Names,Peoples Ages,Birthdays,The Past,Where They Put Items,Phone Numbr,Grocery Items
Name Something You Might See At A Country Western Bar,Cowboys,Cowboy Boots,Cowboy Hat,Beer,Dancing,Mechanical Bulls,Guitar
Name A House Pet You Wouldnt Let Sleep End Bed,Snake,Dog,Rat,Bird,Fish,Lizard,Hamster
Name Something That Melts,Ice Cream,Cheese,Snow,Butter,Chocolate,Plastic,Heart
Name Something A Teenage Daughter Parent Hope Fromn Boyfriend,Car,Tattoo,Motorcycle,Piercings,Kid,Criminal Record,His Own Place
Name Something That Often Gets Tied Up,Traffic,Shoe Laces,Boat,Rope,Dog,Phone Lines,Horse
Name An Activity For Which People Wear Boots,Hiking,Skiing,Hunting,Fishing,Sledding,Shoveling,Horseback Riding
Keepsake People Put In Baby’s Scrapbook,Hair,Tooth,Birth Cert,Pictures,Foot Print,Booties,Hospital Bracelet
Name Something That Can Be Temporary Or Permanent,Tattoo,Job,Hair Dye,Marker,Teeth,Relationship,Housing
Name An Activity People Do Hawaiin Vacation,Scuba,Luau,Scuba Diver,Lay On Beach,Swim,Snorkel,Hula
Name A Vehicle People Drive Makes Them Feel Own The Road,Cadillac,SUV,Corvette,Truck,Mercedes,Camaro,Hummer
Name People Used To Call Women In Old Days,Broad,Old Lady,Honey,Wench,Girl,Housewife,Hussy
Country That Does Well In World Cup,Brazil,Mexico,Spain,Germany,England,France,Italy
Name A Country American Kids Visit In Hope Lucky In College,Mexico,France,Canada,England,Ireland,Holland,Italy
Which Website Would You Not Go A Day Without Visiting,Facebook,Google,Yahoo,Ebay,Msn,Myspace,Iwin
"If You Lived In Fairy Tale Land, Someone At Grocery",Cinderella,Snow White,Alice In Wonderland,Sleeping Beauty,Rapunzel,Red Riding Hood,Jack N Beanstalk
Name A Type Of Music Easy To Dance To,Hip Hop,Country,Rock,Disco,Salsa,Techno,Jazz
Name Something You Bring With You To A Sporting Event.,Hats,Drinks,Binoculars,Cushion,Money,Camera,Jersey
Name Something People Lose On Roller Coaster,Money,Lunch,Hats,Keys,Glasses,Shoes,Jewelry
Name Something In America Slowly Vanishing,Trees,Money,Oil,Water,Undeveloped Land,Morals,Jobs
Occupation You Are Either Loved Or Hated,Lawyer,Athlete,Actor,Teacher,Politician,Police Officer,Judge
Name A Celebrity Whose Records In Country Music Museum,Dolly Parton,Garth Brooks,Johnny Cash,Tim Mcgraw,Willie Nelson,Hank Williams,Kenny Rogers
Name A Float You Might See At Macy’s Thanksgiving Parade,Snoopy,Santa Claus,Turkey,Spider Man,Mickey Mouse,Underdog,Kermit
Someone Who Works With ‘Assistant’,Doctor,Ceo,Teacher,Magician,Celebrity,Principal,Lawyer
Garment In Dressing Room For Pro Wrestling Event,Tights,Mask,Shorts,Belt,Cape,Robe,Leotard
Which Office Supply Is Most Likely Cause An Injury,Stapler,Scissors,Paper,Writing Utensils,Paper Cutter,Paper Shredder,Letter Opener
Name A Vegetable You Would Never Make Juice Out Of,Broccoli,Onion,Potatoes,Cucumber,Celery,Turnip,Lettuce
Why Might A Cop Who Pulls Someone Over Not Give A Ticket,Warning,Nice,Flirts,Driver Cute,Driver Cries,Friend,Light Out
Name Something A Trucker Does More Than You Do,Eat,Drink Coffee,Smoke,Fill Gas Tank,Talk On Cb,Sit,Listen To Radio
Food That Made You Nervous,Squid,Snails,Clams,Oysters,Sushi,Crab,Lobster
Name Something You’D Hope To See One Of On A Trip To Hawaii,Volcano,Dolphin,Beach,Palm Tree,Lei,Hula Dancer,Luau
Name A Winter Sport That You Think Never Add To Olympics,Skiing,Curling,Bobsled,Ice Skating,Snowboard,Hockey,Luge
Name A Food On Kids Menu,Chicken Nuggets,Hamburger,Hot Dog,French Fries,Pizza,Grilled Cheese,Mac & Cheese
Name Something A Baby Can’t Do On Own At Birthday Party,Blow Out Candles,Sing,Eat,Open Presents,Cut Cake,Drink,Make Small Talk
Name Something That An Employer Not Allowed To Ask Interview,Age,Race,Religion,Sexual Orientation,Have Kids,Weight,Marital Status
"If Serious About Camping, Name Something You Leave At Home",TV,Phone,Tent,Kids,Food,Radio,Matches
Most Important Thing Couple Has To Pick Out For Wedding,Rings,Dress,Cake,Location,Date,Flowers,Menu
Name A Famous Johnson,Lyndon,Kevin,Magic,Howard,Randy,Andrew,Michael
Name A Famous Saint,Peter,Mary,Paul,Christopher,Joseph,John,Michael
Name A Job Where You Wouldn’t Take Your Work Home,Sanitation,Hospital,Childcare,Zookeeper,Police,Mortician,Military
Job You Shouldnt Apply For If You Dont Like Waking Up Early,Baker,Doctor,Newspaper Deliverer,Bus Driver,Mail Carrier,Construction,Milk Deliverer
Name A Job You Should Never Apply If You Don’t Like Wake Early,Baker,Newspaper Delivery,Mail Carrier,Bus Driver,Construction,Doctor,Milk Delivery
Tell Me A Person You Wouldn’t Want See Batchelorette Party,Expectations,Mom,Fiancee,Dancer,Boss,Dad,Minister
Name A Stereotype About Teenagers Often Untrue,Irresponsible,Smoke/ Drink,Bad Manners,Loud,Troublemaker,Bad Driver,Moody
"Other Than A Bull, Name A Big Clumsy Animal",Elephant,Cow,Horse,Bear,Hippo,Rhino,Moose
Name A Place Where You’d Hate To Get A Case Of The Giggles,Church,Funeral,Library,Classroom,Wedding,Work,Movie Theatre
Name A Reason Why Someone Might Stay Up All Night,Party,Work Nights,Studying,Insomnia,Sick,Watching TV,New Year’s Eve
Name Something Mom Says That Kids Pretend Not To Hear,Clean Your Room,Go To Bed,Do Homework,Eat Vegetables,Be Quiet,Their Name,No
What Would You Be Disappointed In A Hotel In Hawaii,No Pool,No View,Dirty,Bugs,Not On Beach,Closed,No Ac
Best Way To Greet Friend Without Speaking,Wave,Hug,Smile,Shake Hands,Kiss,High Five,Nod
Name Another Word For A Person’s Brain,Mind,Cerebrum,Intellect,Thinking Cap,Gray Matter,Noggin,Noodle
Where Do People Usually Seek Parenting Advice?,Parents,Other Parents,Friends,Books,Church,Doctor,Online
Name A Good Place To Study,Library,Bedroom,Study,Office,School,Kitchen,Outside
Name Something A Wrestler Would Probably Never Wear During A Match?,Suit,Shirt,Jewelry,Dress,Tutu,Glasses,Pants
Name Something That Siblings Accuse You Hogging,TV,Bathroom,Toys,Food,Computer,Bed,Parents Attention
Name Something That A Child From A Large Family Never Has To Their Self,Bedroom,Bathroom,Time,Toys,Clothes,TV,Parents Attention
Tell Me Soap Opera That Describes Your Love Life,Days Of Our Lives,One Life To Live,Young & The Restless,As The World Turns,All My Children,Guiding Light,Passions
Name A Food That’s On Menu Of Every Restaurant,Hamburger,Fries,Chicken,Steak,Pizza,Salad,Pasta
Name Something Nice Hotel/Motel Might Have In Lobby,Chandeleir,Furniture,Flowers,TV,Fountain,Bar,Piano
What Would A Taxi Driver Have To Stop Doing To Drive A Hearse,Fast/ Reckless,Smoking,Cursing,Chatting/ Joking,Charging Fare,Honking,Picking People Up
Name Something You Take Back Home From Your Hotel Room,Soap,Towels,Ashtray,Shampoo,Robe,Pen,Pillow
Name A Job Which Might Require Someone To Work On Xmas,Nurse,Doctor,Police,Store,Santa Claus,Restaurant,Pilot
Fruit Often Served In A Bowl,Strawberries,Grapes,Peaches,Cherries,Watermelon,Grapefruit,Pineapple
Name Something You Do Before You Go On Vacation,Pack,Shop,Tan,Clean,Save Money,Stop Mail,Plan
Someone You Hire For A Wedding,Caterer,Photographer,Priest,Singer,Driver,Dj,Planner
Name Something About A Celebrity’s Life Plastered Magazines,Dating,Divorce,Kids,Wedding,Infidelity,Diet,Plastic Surgery
Tell Me An Occupation That A Blabbermouth Would Fail At,Lawyer,Librarian,Spy,Mime,Clergy,Therapist,Police
Name Something A Batchelor Pad Needs,TV,Bed,Beer,Stereo,Futon,Women,Pool Table
"Besides Curtains, Name Something College Student Cover Window",Bedsheet,Blinds,Blanket,Towels,Newspaper,Clothes,Posters
Name One Kitchen Gadget Even A Single Guy Owns,Can Opener,Knife,Microwave,Toaster,Spatula,Bottle Opener,Pot
How Tell Person Next To You Is Nervous Flyer,Sweating,Shaking,Crying,Drinking Alcohol,Biting Nails,Eyes Closed,Praying
Name An Event That Would Cause News To Interrupt TV Show,Bad Weather,Fire,Earthquake,War,Local Crime,Traffic Blockage,Presidential Speech
Profession Where Talk To Strangers All Day,Telemarketer,Hair Dresser,Cab Driver,Secretary,Bartender,Waitress,Psychiatrist
Name A Color That’s Usually Included In Packs Of Fruit-Flavored Candy,Red,Pink,Blue,Green,Yellow,Orange,Purple
Fairy Tale Character In Shrek,Gingerbread Man,Snow White,Cinderella,Fairy Godmother,Pinnochio,Tinkerbell,Puss In Boots
Name Something That Both Men And Women Use Get Ready For A Date,Shower,Perfume,Comb,Toothbrush,Deoderant,Mirror,Razor
Place You End Up Spending More Money Than Planned,Dept Store,Grocery Store,Casino,Bar,Movie,Vacation,Restaurant
Name A Workplace You Would Get Used To Stress,Hospital,Police,Dmv,Law Office,Post Office,Fast Food,Retail
Name Something Women Put In Their Hair,Hairspray,Gel,Clip,Shampoo,Dye,Bow,Rollers
Name A Section You’D See At A Book Store,Fiction,Mystery,Childrens,Non-Fiction,Graphic Novels,Sci Fi,Romance
Name Something Specific In A Hotel Handy To Have Camping,Bed,Shower,Soap,Toilet,Towel,TV,Room Service
Name A Sign The Man You’Re Dating Is A Caveman,Beating On Chest,Eating Habits,Very Possessive,Hair All Over,Pull Hair,Has Club,Rude
Occupation With Positive Attitude,Teacher,Doctor,Customer Service,Food Server,Therapist,Nurse,Salesperson
What Is Something On Your Body That Shows You’Ve Been Hurt,Bruise,Scar,Cut,Cast,Bandage,Expression,Scab
Name A Place Where Employees Might Spend A Whole Day Mowing The Lawn,Park,Golf Course,Mansion,White House,Ball Field,Farm,School
Name Soemthing You Can Never Find When You Need It,Keys,Pen/ Pencil,Money,Remote Control,Phone,Glasses,Scissors
Name Something Begins With Great,Expectations,Dane,Wall Of China,Day,Grandmother,Buy,Scott
Name Something A Teacher Can Do To Ruin A Students Day,Keep Them Late,Give Test,Pop Quiz,Yell Them Them,Embarrass Them,Homework,Send To Principal
"If You Requested Hamburger Garbled, What You Get",Cheeseburger,French Fries,Hot Dog,Chicken Nuggets,Soda,Salad,Shake
Name An Article Of Clothing That Many Men Think Women Look Attractive In.,Dress,Mini Skirt,Bathing Suit,Underwear,Lingerie,High Heels,Shorts
Name A Reason Why You Wouldnt Answer Door,Sleeping,Not Dressed,Salesperson,Stranger,Busy,Sick,Shower
Name Something Octopus Would Be Good At,Cleaning,Typing,Cooking,Juggling,Playing Sports,Musical Instrument,Showing Affection
Name A Type Of Party,Birthday,Batchelor,Pool,Holiday,Bridal,Political,Slumber
"Other Than Talking, Name Something Shouldn’t Do While Eating",Laugh,Burp,Sing,Sneeze,Cough,Drink,Smoke
Animal People Think Others Are Crazy For Eating,Dogs,Alligator,Horse,Frog,Snake,Goat,Snails
Name Something Not To Run Away From Because It Makes Things Worse,Problems,Bear,Dog,Bully,Bee,The Law,Snake
Name A Specific Complaint Many People Have About Bosses,Mean,Lazy,Micomanages,Pay Too Little,Bad Mood,Has Favorites,Snobby
A Game You See People Playing In The Park,Baseball,Basketball,Football,Frisbee,Tag,Chess,Soccer
What Can Almost Everyone Cook,Toast,Hot Dogs,Macaroni,Pasta,Pizza,Eggs,Soup
Name A Public Place Where Least Romantic To Propose,Restroom,Bar,Library,Fast Food,Mall,Work,Sports Gym
Name Something Flashy Movie Spies Have,Car,Gun,Watch,Camera,Sunglasses,Phone,Suits
Name Something That You Hate To Get In Your Eyes,Soap,Sand,Dust,Smoke,Insect,Hair,Sun
Name Something You Wear That Is Invisible,Contacts,Perfume,Lotion,Deodorant,Braces,Hairspray,Sunscreen
Name An Activity Where You Wear Gloves,Gardening,Baseball,Golf,Boxing,Cleaning,Skiing,Surgery
Name An Article Of Clothing Never Wear Fancy Restaurant,Blue Jeans,Shorts,T Shirt,Bathing Suit,Tank Top,Sneakers,Sweats
Name A Slang Expression The Mafia Uses For The Word Kill,Rub Out,Waste Em,Hit,Whack,Take Out,Get Rid Of Them,Take For A Ride
Name Something People Do While Watching Fireworks,Eat,Drink,Scream,Cuddle,Clap,Look Up,Take Pictures
Name Something A Younger Brother Wants To Do,Drive,Play Sports,Dress,Date,Shave,Stay Up Late,Talk
Name Something You’D Hate To See The Valet Driver Doing With Your Car,Smoking,Speeding,Eating,Drinking,Sleeping,Picking Nose,Talking On Phone
Which Cartoon Character Would Make A Good Athlete If Real,Road Runner,Bugs Bunny,Popeye,Superman,Mighty Mouse,Speedy Gonzales,Tasmanian Devil
A Mans Name That It 3 Letters Long,Bob,Ben,Jim,Dan,Tim,Sam,Ted
Name Something In Your House You Have Installed,Bathtub,Ac,Alarm,Garage Door Opnr,Cable TV,Siding,Toilet
Name Something Many Parents Want Children Learn Young Age,Read,Manners,Talk,Walk,Alphabet,Name,Toilet Training
Name A Mode Of Transportation That Is Hard Caring For Children,Bus,Bicycle,Car,Airplane,Motorcycle,Subway,Train
Name A Public Place Where Bathrooms Are Disgusting,Gas Station,Park,Mall,Bar,Beach,Restaurant,Train Station
What Might You Find Out About Job Not Accepting It,Low Pay,Long Hours,Mean Boss,Location,No Benefits,Dangerous,Travel Alot
Name Something In The Car 16 Year Old Should Know,Brakes,Radio,Mirrors,Head Lights,Accelerator,Seat Belt,Turn Signals
Name Something That Has A Clock On It,VCR,Radio,Computer,Watch,Microwave,Wall,TV
Name Something Co-Workers Talk About Around The Water Cooler,Boss,Sports,Gossip,Love Life,Workload,Weather,TV Shows
Name Something You Cut Tag Off Before Using,Shirt,Pants,Dress,Pillow,Shoes,Mattress,Underwear
"Other Than A Car, Where To Find A Horn",Bicycle,Boat,Bull,Train,Motorcycle,Rhinocerous,Unicorn
"Name Something You Do In The Morning, Before Anyone Else Is Awake",Shower,Make Coffee,Eat Breakfast,Watch TV,Read,Pray,Use The Bathroom
What Do You See In Someones Mouth Laughing Don’t Always See,Fillings,Tonsils,Tongue,Teeth,Throat,Food,Uvula
Name Something That Gets Saved,Money,People,Food,Data,Pictures,Soul,Video Game
Name An Event That’s Often Held As A Fundraiser,Bake Sales,Car Wash,Dinner,Auction,Raffle,Concert,Walk/ Run
If Someone Didn’t Trust Banks Where Would They Hide Cash,Under Mattress,Safe,Piggy Bank,Freezer,Drawer,Closet,Wallet
Name Something That Goes “Round And Round”,Merry Go Round,Ferris Wheel,Spinning Top,Clock Hands,Wheels,Earth,Washer/ Dryer
Name Something Your Toddler May Be Doing If She Is Very Quiet,Sleeping,Using Bathroom,Eating,Causing Trouble,Reading,Coloring,Watching TV
Name Something Your Mother Said Would Cure Ailments,Chicken Soup,Sleep,Her Kiss,Castor Oil,Tea,Honey,Water
Name Something You Don’t Buy At Grocery Store With A Long Walk Home,Milk,Ice Cream,Dog Food,Soda,Potatoes,Eggs,Watermelon
Name Something That Doesn’t Have A Characteristic Of President,Deceptiveness,Middle Aged,Male,White,Handsome,Smart,Wealthy
Product Advertised In Magazines,Make Up,Clothes,Car,Cigarettes,Hair Product,Perfume,Weight Loss Product
"If You Dyed Your Hair, What Color Would You Hate To Turn Out",Green,Orange,Pink,Red,Blue,Purple,White
TV Show With Womans Name In Title,Oprah,I Love Lucy,Ally Mcbeal,Roseanne,Rosie O’Donnell,Murphy Brown,Will & Grace
Name Something You Don’t Wash As Often As Should,Car,Hands,Hair,Sheets,Clothes,Ears,Windows
Name A Type Of Alcohol You Expect Any Bar To Have,Beer,Vodka,Rum,Tequila,Gin,Whiskey,Wine
Name A Celebrity Chef You Would Want Making You Dinner Every Night,Emeril Lagasse,Rachel Ray,Bobbie Flay,Gordon Ramsey,Paula Deen,Jamie Oliver,Wolfgang Puck
Name A Sport In Which Competitors Wear Funny Looking Shoes,Bowling,Soccer,Golf,Track,Football,Basketball,Wrestling
Name Something With An Expiration Date Goes Bad Before Use,Milk,Bread,Medicine,Eggs,Sour Cream,Cheese,Yogurt
Name A Sandwich You Can Find In Most delis.,Han And Cheese,Club,Roast Beef,Tuna,Reuben,Chicken,Pastrami
Name An Occupation That Adult Men Still Dream About Having,Firefighter,Pro Athlete,Astronaut,Actor,Race Car Driver,Pilot,President
Name Something A Man Does That Gets Him In The Doghouse With His wife.,Infidelity,Lie,Stay Out Late,Go Out Drinking,Forget A Birthday,Have An Argument,Forget Anniversary
Name A Hobby That Some People Can Make A Job Out Of.,Singing,Sports,Fishing,Painting,Needlework,Writing,Gambling
What Should Every Baseball Player Make Sure He Has Before The Game Starts?,Glove,Bat,Cup,Uniform,Helmet,Cleats,Gum
Name A Reason A Party’s Host Might Ask A Guest To Leave.,Drunk,Picking Fights,No Manners/Annoying,Loud,Cops Show Up,Using Bad Language,Not Invited
Name Something A Taxi Driver Would Have To Stop Doing In Order To Be A Respectable Hearse Driver.,Stop Speeding,Cursing,Smoking,Chatting,Charging Fare,Honking,Picking People Up
Name Something You Might Wear To A Restaurant That Only Served Cereal.,Pajamas,Bib,Jeans,Bath Robe,Tshirt,Slippers,Sweats
"Besides A Loaf Of Bread, Name Something You Might Buy In The Bread Section Of The Supermarket",Bagels,Rolls,Donuts,Muffins,Cakes,Buns,Croissant
"If you moved to Los Angeles, what would be the first thing youd have to get used to.",Traffic,Weather,Smog,Lots Of People,Noise,Crime,Prices
"Besides Go On Rides, Name Something People Do At disneyland",Eating Sweets,Watch Shows,Shop,Walk Around,Watch Parade,Take Pictures/Video,Disney Characters
Name Something You Should Always Have Handy In Your Car In Case Of An Emergency,Flashlight,Phone,First Aid KIt,Spare Tire,Blanket,Jumper Cables,Flares
"If You Were Creating The Perfect Small Town, Name A Type Of Business You’d Probably Have At Least One Of",Grocery Store,Bank,Bakery,Restaurant,Clothing Store,Bar,Hair Salon/Barber
Name Something That Gets Described As Cheesy,Pizza,Movie,Jokes,Smile,Macaroni,Pick Up Lines,Music
Which Mans Name Are You Likely To Hear In A Mafia Movie,Tony,Don,Joey,Frank,Al,Scarface,Vinny
Name Somewhere You Would Look If You Wanted To Find A Spider,BASEMENT,CORNER,ATTIC,SPIDER WEB,CLOSET,CEILING,GARAGE
Name An Animal You Can Teach Tricks,Dog,Monkey,Cat,Dolphin,Bird,Lion,Horse
Name A Part Of A Beauticians Body That Probably Gets Tired By The End Of The Day,HANDS,FEET,ARMS,LEGS,BACK,EYES,MOUTH
